material_id,formula,provenance,Number of Atoms_ours,Volume (A3)_ours,Density (g cm-3)_ours,Atomic mass (amu)_ours,K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio_ours,Gruneisen parameter_ours,Kappa_Slack (W m-1 K-1)_ours,Kappa_cal (W m-1 K-1)_ours,Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,Bulk modulus (GPa),Shear modulus (GPa),Number of Atoms_ref,Volume (A3)_ref,Density (g cm-3)_ref,Atomic mass (amu)_ref,Sound velocity longitudinal (m s-1),Sound velocity transverse (m s-1),Speed of sound (m s-1),Acoustic Debye Temperature (K),Poisson ratio_ref,Gruneisen parameter_ref,Kappa_Slack (W m-1 K-1)_ref,Kappa_cal (W m-1 K-1)_ref
mp-671913,MoSe2Cl4O,unseen,64,1744.68599,3.13453,3293.3712,8.3512,3.5903,0.0385,0.0828,0.31199,1.84953,0.04828,0.0424,0.01854,0.04291,0.09667,9.01687,3.9890735,64,1744.68599116572,3.1345305537771626,3293.3712,2138.5637552980206,1128.1056290361996,1261.2290848422554,31.19115304710481,0.3072270765044126,1.818423891361438,0.0585652274302005,0.0511924293839546
mp-29694,KAuBr4,unseen,24,795.87016,4.63759,2222.72348,9.1782,3.1772,0.061,0.0294,0.34482,2.08924,0.05268,0.04707,0.03205,0.04696,0.06898,10.734239,3.0125823,24,795.8701588122586,4.637589599805981,2222.723476,1783.4658232853112,805.9782153765287,908.844230931879,29.19792070175148,0.3716786791650433,2.3249737909369865,0.0389878636694183,0.0344603760166594
mp-705514,SbHC3(NCl3)3,unseen,68,1608.72003,2.14657,2079.58856,6.875,3.345,0.1094,0.0376,0.29068,1.71637,0.05612,0.04809,0.02732,0.04835,0.08235,6.2866907,3.409247,68,1608.7200323738264,2.146574905307474,2079.58856,2246.406721969365,1260.2485445768402,1402.5104553138274,35.636017307285854,0.2703625265723854,1.60276211884913,0.0665755671124951,0.0552955883394423
mp-571228,Rb5Sn(PSe5)3,unseen,48,1591.88052,3.80403,3646.74057,12.4737,4.2743,0.0357,0.0325,0.34623,2.10063,0.05654,0.05052,0.03641,0.05079,0.07194,13.229347,6.2424774,48,1591.880518942671,3.804026195410554,3646.740572,2380.282991060328,1281.0224489363495,1430.1747549526506,36.466618646415256,0.2961330220482525,1.7490085460161742,0.1459139914394366,0.1259222093794763
mp-624399,CdI2,unseen,27,1022.63359,5.35197,3295.97946,6.6377,3.0125,0.0377,0.0201,0.3029,1.79081,0.06023,0.0524,0.04137,0.05251,0.06693,6.828676,4.4318094,27,1022.6335909601642,5.351968400088516,3295.97946,1542.7291028642694,909.98402476183,1008.3001253389698,29.79611762983438,0.233214630374141,1.4225502790600295,0.1733206273347349,0.1340047434219617
mp-570167,Rb3SnP3Se11,unseen,72,2346.3914,3.78363,5346.37874,11.3836,4.8532,0.0608,0.071,0.31336,1.85865,0.06707,0.05898,0.02938,0.05958,0.12189,12.453683,6.741186,72,2346.391402203252,3.783627391968431,5346.378744,2380.552503061688,1334.7931806025276,1485.5342043132068,33.283248941301444,0.2707195685614285,1.6046582670290035,0.1489705902770247,0.1238048923285771
mp-570811,PrRe2,train,6,120.39598,14.15979,1026.6433,181.8485,10.0446,0.0278,0.0243,0.47288,3.80029,0.1051,0.0593,0.04872,0.05961,0.07298,121.44661,78.07131,6,120.39597537044702,14.159786523174922,1026.6433,3991.030615908892,2348.1043107537603,2602.4149455155225,156.90944932449898,0.2352983203630853,1.4318370030490457,17.143490087794337,13.313551120819566
mp-23592,Ag2Hg7(As2I3)2,unseen,76,2505.37955,7.1077,10723.91848,27.4322,8.1942,0.1312,0.063,0.36417,2.25486,0.06966,0.06193,0.02825,0.06321,0.13992,19.726353,7.865664,76,2505.3795469078423,7.107699761471793,10723.91848,2061.7637278048496,1051.9695238834313,1178.668199587554,25.83709017004385,0.3240205148714596,1.932052217622454,0.0902165314362914,0.0799963801829799
mp-973561,LiCe2Ru,train,4,86.51756,7.45158,388.243,66.687,5.6589,0.011,0.0863,0.45874,3.50779,0.09711,0.06212,0.03117,0.06302,0.14028,70.93526,19.111256,4,86.51756086214851,7.451581659380331,388.243,3597.099238996883,1601.4757927439366,1807.0359220159887,121.63967205025816,0.3763916392909447,2.37084059854276,1.351603167936133,1.188866814046394
mp-772034,Ba3LaI9,unseen,52,2381.80103,4.72136,6772.1068,14.8389,5.0903,0.0693,0.025,0.34608,2.09941,0.06972,0.0623,0.0438,0.06271,0.08991,9.89715,4.210864,52,2381.801031934519,4.721363274901779,6772.1068,1812.5712086354008,944.3911361110574,1056.7130137986692,23.55763959242527,0.3136912889987161,1.8608823336036289,0.0673558884722277,0.0592472117348477
mp-722866,SbH6CN3F4,unseen,60,686.9157,2.49312,1031.32821,23.2125,6.8664,0.0425,0.0964,0.36537,2.26584,0.0735,0.06529,0.02508,0.06474,0.17379,26.477848,8.060511,60,686.9157023817951,2.493116377510201,1031.3282112,3864.0899327320376,1798.084104777341,2024.844161747782,68.3230113633414,0.3618104343850949,2.2335289395154923,0.0962984436770032,0.0857248722856195
mp-30097,Bi2Te7Cl8,unseen,34,1081.43257,4.89758,3189.5696,7.7895,3.8045,0.0536,0.007,0.28998,1.7123,0.07935,0.06793,0.05422,0.06787,0.08485,8.060304,5.019589,34,1081.432571883578,4.897582217830333,3189.5696,1735.6038816570417,1012.3791901065096,1122.9074428483104,32.57021974971855,0.2421488187533314,1.4630113019499178,0.1667173225058617,0.131331036317538
mp-8778,Sm2Au5F21,unseen,112,1843.25507,6.07015,6738.07725,34.8804,11.2225,0.0515,0.0986,0.35471,2.17132,0.08002,0.07143,0.02579,0.07108,0.18687,22.64877,9.529972,112,1843.2550656461865,6.070153138090487,6738.077248799999,2413.393030687298,1252.985341444574,1402.3366443219854,34.051298749311044,0.3154924659315882,1.872991329058338,0.0850595899083943,0.0749382068047196
mp-31268,AlBiBr6,unseen,16,560.93357,4.23553,1430.77188,3.3354,2.2347,0.1135,0.0218,0.22616,1.39176,0.10083,0.07677,0.04715,0.07557,0.11391,3.419883,2.7259576,16,560.9335661183702,4.235532947766664,1430.7718771999998,1290.5619891095023,802.2422283051342,884.2670131990695,31.921955784453683,0.1851177786983589,1.2305269603035147,0.175105538487109,0.1209912683500603
mp-556894,Rb2SbAuS4,unseen,32,1067.52723,3.84471,2471.68868,10.7786,4.3319,0.019,0.1104,0.32279,1.92336,0.09044,0.08013,0.02667,0.08282,0.22897,12.515649,3.733942,32,1067.52722894643,3.8447128105161497,2471.688676,2133.121345947673,985.4891186002108,1110.1505091486688,32.339409502856554,0.3643218842203284,2.256235204691312,0.0520004419317905,0.0462239817907405
mp-22932,KInBr4,unseen,24,876.24972,3.58947,1894.1292,8.8617,3.6288,0.0803,0.0683,0.31984,1.90277,0.09161,0.081,0.03943,0.08128,0.16481,8.949003,3.7911758,24,876.2497157137601,3.589473961335508,1894.1292,1975.19130061362,1027.712314702574,1150.0478234069617,35.78078084791039,0.3143896686302191,1.865562719048476,0.1019217568492458,0.0897076978962891
mp-555526,RbAg(NO3)2,unseen,40,635.06808,3.31911,1269.3832,22.757,6.7613,0.0992,0.0405,0.36483,2.2609,0.09136,0.08119,0.04555,0.08127,0.14275,24.253868,7.8764796,40,635.0680753035118,3.319109366382967,1269.3832,3235.959779885616,1540.4772732711813,1732.7935385948042,60.01824191386406,0.3534846174226569,2.1608591882737755,0.1261502297803466,0.1126475954099212
mp-27812,RbTiI3,unseen,30,1213.17886,4.22162,3084.28926,9.8987,4.1056,0.0536,0.0319,0.31781,1.88874,0.09205,0.08125,0.05483,0.08127,0.11866,12.536202,4.0777926,30,1213.17885814616,4.221622213155419,3084.28926,2063.35394581029,982.8175113408834,1105.4822140113745,30.85934417695372,0.3532689530404083,2.1590281201831707,0.0690559216409359,0.061667358659872
mp-567515,Rb2Hg2PdBr8,unseen,13,464.24663,4.71345,1317.7676,10.2348,3.493,0.0545,0.0173,0.34679,2.10514,0.09147,0.08174,0.06173,0.08141,0.10777,13.814573,3.882633,13,464.2466343287462,4.713452767882455,1317.7676,2007.28530108378,907.598123614814,1023.4102566492518,39.34987775630574,0.3715107390177433,2.323366415071803,0.0874066916071334,0.0772685097520785
mp-626529,H7NO6,unseen,56,535.56499,1.45178,468.23472,16.879,6.0196,0.0947,0.0442,0.34063,2.05594,0.09534,0.08514,0.0468,0.08378,0.14754,14.722882,5.916744,56,535.5649882793762,1.4517790800380403,468.23472,3946.5536206725496,2018.7899360755357,2261.5710321902493,82.9117440122642,0.3228002882650356,1.923421961771476,0.1066660133379477,0.0945053204642744
mp-15148,K4Nb2S11,unseen,68,1888.55086,2.44408,2779.68384,14.0965,5.7553,0.0306,0.042,0.32031,1.90603,0.10074,0.0891,0.05824,0.08854,0.13552,15.274411,4.925621,68,1888.550859177071,2.44408224069585,2779.68384,2989.4228869572203,1419.621571216365,1597.0500662383622,38.46675161040787,0.3544118534153492,2.16876056979345,0.0610342868650031,0.0544893371328168
mp-720287,Na3AsH22S2O13,unseen,164,1753.43598,1.65989,1752.75115,16.5337,8.2377,0.0153,0.0669,0.28636,1.69123,0.10853,0.09243,0.05051,0.09213,0.17673,13.649169,6.6191053,164,1753.4359813861147,1.6598905211395245,1752.75115136,3679.6514725752463,1996.916584772863,2228.061208557674,55.00983678109922,0.2912683509909967,1.7198643375195697,0.0754898102272568,0.0647336879812639
mp-752439,BaSr2I6,unseen,27,1367.15903,3.91339,3221.98146,14.6556,4.7803,0.1258,0.0344,0.35291,2.15594,0.10557,0.09428,0.05003,0.09339,0.16999,12.2253065,6.19725,27,1367.1590318588828,3.913389714722045,3221.98146,2288.1077746678943,1258.4123001365083,1402.6632095553748,37.62619232592434,0.2831773305745778,1.6730286996382648,0.2637008404052003,0.2235389910036889
mp-28130,Nb(PS4)2,unseen,44,1163.7093,2.34802,1645.49562,9.3628,4.4496,0.0885,0.1104,0.29487,1.74139,0.11084,0.0955,0.03106,0.09782,0.28243,6.6137667,2.716543,44,1163.7093009347095,2.3480174609843427,1645.495616,2087.9050079716635,1075.6169256475869,1204.4311806966869,34.09131069140979,0.3193615135751944,1.8994269187069968,0.044148466787054,0.0390177460575687
mp-706653,H8S2N2O5,unseen,68,685.02862,1.74729,720.81568,17.3405,6.9151,0.1588,0.0706,0.324,1.93193,0.10882,0.09649,0.0376,0.09998,0.24449,17.805012,7.209439,68,685.0286156517809,1.747288464718057,720.8156799999999,3961.251238379324,2031.273603550601,2275.2054699577657,76.84122190806902,0.3216205852351671,1.9151363489655255,0.1179566360345203,0.1044227196021029
mp-696216,HS3N,unseen,40,843.34586,1.75176,889.67712,6.6555,3.7331,0.2374,0.0607,0.26372,1.56812,0.12112,0.09945,0.03038,0.0962,0.23317,9.015049,3.0805306,40,843.345857981183,1.7517648334939584,889.67712,2736.9642047705365,1326.0956938516788,1490.2690736384266,46.96121527876559,0.3466160320522332,2.1037546663116418,0.0493451017732331,0.0440955920857607
mp-29943,H5NO5,unseen,88,753.72663,1.74562,792.3472,21.8222,8.46,0.1246,0.0341,0.32834,1.96313,0.11368,0.10107,0.05348,0.10217,0.18351,20.239183,8.053191,88,753.7266257716601,1.7456242578698078,792.3471999999999,4212.52700078255,2147.873107963196,2406.6647163997723,78.7325254369269,0.3243470088363758,1.9343718342534355,0.1088648733425989,0.0965525937062529
mp-696851,ZnH12C2S2(N3O4)2,unseen,62,695.55543,1.80337,755.38216,28.5789,8.4899,0.0649,0.0952,0.36485,2.26105,0.11597,0.10305,0.04065,0.10385,0.27557,29.87528,10.192663,62,695.5554273086824,1.8033668337527191,755.38216,4909.421274222413,2377.3974782410837,2671.8016719707603,89.77805238134414,0.3468320677135304,2.1055133999290603,0.1767903425339317,0.1579828795242711
mp-35909,AgBiI4,unseen,12,505.98486,5.41146,1648.93296,8.5296,3.5031,0.1315,0.0589,0.31938,1.89954,0.11828,0.10454,0.04689,0.10348,0.2195,8.712284,3.0417876,12,505.9848598947997,5.41146152610018,1648.93296,1536.045838059112,749.7339144947102,842.2153012145851,31.466890605322902,0.3436294098806663,2.0796818039641303,0.079314818994399,0.0708654192806908
mp-27673,TaPS6,unseen,64,1721.14192,3.1206,3234.49314,9.6053,5.4433,0.1215,0.0841,0.26167,1.55764,0.12845,0.10508,0.03966,0.10284,0.2482,6.68346,3.7906284,64,1721.1419229108935,3.120603913591172,3234.493136,1939.4156637098183,1102.1387793356507,1225.247861187306,30.4388520010432,0.2615057705258924,1.5567960562605467,0.0747302630801806,0.0611127117845608
mp-699552,KMoCl4O,unseen,56,1527.22311,2.54731,2342.7976,12.2811,5.6308,0.0283,0.0946,0.30114,1.77984,0.12453,0.10813,0.04213,0.1096,0.26673,17.550283,5.358958,56,1527.2231090904154,2.54730754283112,2342.7976,3113.6425429857272,1450.4390257843631,1633.272312017112,42.22480452946796,0.3614296975016766,2.230119276223355,0.0724483566188011,0.0645062758902717
mp-682548,Cs5Te3H4NCl18,unseen,31,902.89889,3.13298,1703.51972,10.7645,4.7752,0.0189,0.0381,0.30677,1.81548,0.1276,0.11148,0.07731,0.11183,0.16024,13.210416,4.711383,31,902.898889840852,3.13297655001436,1703.5197194999998,2494.3220473302727,1226.2968903274457,1377.0105917364326,42.41643048752508,0.3406257345292139,2.055916301275987,0.0966175475398214,0.0862864658256446
mp-30989,Sn(NO3)4,unseen,68,897.98939,2.71259,1466.9184,11.9618,6.6498,0.0757,0.0464,0.2655,1.57725,0.13734,0.11311,0.0642,0.11361,0.18109,17.038538,9.730568,68,897.9893893797408,2.712588080578684,1466.9184,3326.2898618000017,1893.9877683084983,2105.198546190011,64.9649641892077,0.2601188529874197,1.549779399356963,0.2521311776871539,0.2056667987680642
mp-622262,Te6MoBr3,unseen,40,1444.44375,5.06402,4405.008,14.3596,6.2088,0.0565,0.088,0.31104,1.84331,0.13068,0.11467,0.04945,0.11578,0.26895,15.215639,8.519669,40,1444.4437544283612,5.064017107263507,4405.008,2290.8184173414447,1297.0710562766917,1442.3962915473269,37.98926831425823,0.264070364578673,1.569898131233196,0.2931746390852261,0.2408582404786189
mp-981390,HgBi3,unseen,4,121.75032,11.28661,827.5312,35.05,5.9815,0.1287,0.0457,0.41926,2.86834,0.14546,0.11593,0.06386,0.11899,0.23157,31.186642,9.548997,4,121.7503249507432,11.286605509317466,827.5312,1972.616904303235,919.8080451857476,1035.7046175831515,62.214136801342825,0.3610838360108037,2.2270293018255503,0.4946900964660317,0.4405371911113313
mp-560549,AuSeClO3,unseen,24,484.49081,4.92691,1437.51108,12.3536,5.5161,0.1269,0.0335,0.30567,1.8084,0.13368,0.11666,0.06363,0.11624,0.21322,10.36188,6.0509877,24,484.4908112524076,4.926911405260143,1437.5110759999998,1934.0766274091077,1108.2194277350054,1231.143063513983,46.66843291978465,0.2555921844450447,1.527207645752284,0.2181518322350808,0.1764572926412356
mp-781828,NiH18(I5N3)2,unseen,70,1433.62966,3.31249,2859.84244,7.9501,5.7635,0.1731,0.0105,0.20807,1.31713,0.16539,0.12084,0.06095,0.1197,0.2023,10.058367,6.0663924,70,1433.629664845534,3.3124873312991645,2859.8424399999994,2340.582616467947,1353.2814762849723,1502.2090212989133,39.66382406997929,0.2489179142373344,1.4948194422778145,0.137438103723557,0.1097476948142129
mp-572149,Cs2Al(NO3)5,unseen,69,1124.826,2.66975,1808.45083,12.3813,6.7396,0.0811,0.031,0.26963,1.59889,0.14587,0.121,0.07799,0.12073,0.18283,18.159704,8.060802,69,1124.8259980430337,2.6697491505449733,1808.4508272,3290.5582968764397,1737.616415110817,1942.526021760232,55.60940825050423,0.3066642072997451,1.8147990010923327,0.146668236339936,0.1281285879905213
mp-738629,CsGaH24(SO10)2,unseen,192,1921.74952,2.11159,2443.74805,24.4383,11.8546,0.0236,0.053,0.29122,1.71956,0.14133,0.12118,0.07198,0.12028,0.20431,22.159895,9.549235,192,1921.749523418731,2.11158585350802,2443.7480476,4064.9934962630346,2126.57119283846,2378.854913756771,56.965542574433215,0.3115999366750241,1.8469766749279724,0.0880833833540269,0.0773299764578355
mp-30206,CsClO4,train,24,459.13547,3.36142,929.42421,13.8568,5.4918,0.0572,0.0591,0.32496,1.93875,0.13668,0.12127,0.06601,0.12297,0.23179,19.092249,6.2874026,24,459.1354736465206,3.361415740897432,929.4242076,2858.981278619344,1367.648588097759,1538.003239322229,59.35448088711822,0.3516285667816095,2.145182705321604,0.1357628557938967,0.1212742566900132
mp-684621,Cu13I15,unseen,28,821.61922,5.51681,2729.66505,15.0184,6.1573,0.0526,0.0299,0.31965,1.90145,0.13722,0.1213,0.08365,0.12262,0.1723,24.877872,9.409432,28,821.6192188774083,5.516807976794392,2729.66505,2604.533246185498,1305.983769455194,1464.823988301234,46.56273235400303,0.3320604898524008,1.9904899881627185,0.2357593614965863,0.2099750227826797
mp-774224,InH12S2NO12,unseen,112,1063.67311,2.47935,1588.17112,39.5674,13.1117,0.0164,0.0342,0.35079,2.13819,0.1359,0.12141,0.0849,0.12043,0.17106,26.369755,10.670626,112,1063.673108083727,2.4793521363358986,1588.17112,4046.497087100618,2074.55921859943,2323.7193881151256,67.77312303788968,0.3217202257744385,1.915833980422753,0.1252653103121926,0.1109006848249856
mp-567716,AlTlCl4,unseen,24,707.07597,3.50556,1492.70735,6.9243,3.9459,0.0329,0.0913,0.26055,1.55197,0.14941,0.12197,0.05151,0.12371,0.2954,6.696634,4.3766074,24,707.0759742154594,3.505562302828445,1492.7073544,1890.7462939270076,1117.3518465177565,1237.8561770016656,41.36738214732097,0.2316776459132605,1.4157571652957817,0.2111560695415725,0.1627203117584495
mp-1019783,K2S2O3,unseen,56,1194.40045,2.11682,1522.5984,20.6763,7.3078,0.0749,0.1219,0.34191,2.06599,0.13659,0.12201,0.0334,0.11812,0.40238,23.178413,7.8543606,56,1194.400446777297,2.11682282629496,1522.5984,3987.090094726772,1926.2522657536715,2165.0598317860567,60.75235635618028,0.3477632555806872,2.113121416592996,0.145253187659911,0.1297989374748576
mp-776561,Na5Bi2As(CO4)4,unseen,112,1628.77657,3.71859,3647.45779,31.0641,12.1527,0.0348,0.0399,0.32696,1.95309,0.13768,0.1223,0.07836,0.12067,0.18325,34.064285,13.721831,112,1628.776568970317,3.718586250939374,3647.4577856,3752.4174334281247,1920.954634291129,2151.8664261747413,54.45085233565993,0.3224319384360224,1.9208287688364292,0.1709948851640663,0.1514618584182236
mp-759449,Li3Ag2F5,unseen,40,549.44133,4.0081,1326.20566,54.503,12.1574,0.0452,0.0134,0.39619,2.58097,0.14531,0.12378,0.09863,0.12395,0.15691,51.339878,11.732618,40,549.44133115429,4.008100944769624,1326.205664,4088.030851198064,1710.913866451316,1935.1474752471363,70.34234399973356,0.3938238990475641,2.554262132748536,0.1407490187280157,0.1204849828768297
mp-998154,TlAgBr3,unseen,5,158.15389,5.79535,551.9635,23.9627,4.9386,0.0812,0.0446,0.40358,2.66748,0.1544,0.12924,0.07549,0.12958,0.21564,21.519909,8.048235,5,158.15388907869698,5.7953488321222855,551.9635,2359.016904793073,1178.4482933239617,1322.0693841935404,72.78426485870158,0.3337323878229617,2.00299649596772,0.5807616685242678,0.5176067583165623
mp-567329,CrHg6As4Br7,unseen,72,2005.72701,7.00254,8458.202,15.8358,8.7751,0.0762,0.0665,0.26613,1.58055,0.15927,0.13133,0.06616,0.13174,0.25478,16.04824,8.79298,72,2005.7270072379815,7.00253565073066,8458.202000000001,1991.4874747526735,1120.5735913274775,1246.7655765033949,29.43319486102208,0.2683525911644985,1.592151356395632,0.1573527072689175,0.1302452478046531
mp-556151,H9C3N3O2,unseen,68,624.77113,1.26643,476.48984,24.3448,8.5466,0.0317,0.0459,0.34286,2.07353,0.14709,0.13141,0.08137,0.13112,0.20421,25.070501,8.328105,68,624.7711296150967,1.266431750376963,476.48984,5344.550903573315,2564.3789324422773,2883.3460763778903,100.41524792123138,0.3504642540145522,2.1354426784534555,0.1331222862738905,0.1189347618482228
mp-864892,NdAgAu2,train,4,86.56908,12.39219,646.04334,82.9757,9.5683,0.0042,0.0352,0.44448,3.25055,0.19373,0.13678,0.09802,0.13736,0.18745,82.704605,11.466449,4,86.56907626249773,12.392187248383792,646.043338,2812.056169885892,961.9233880875196,1093.8781664000967,73.61922419509206,0.4337404425225882,3.077670725550715,0.2844407073779653,0.2130045247268385
mp-24362,CuH6CN2O3,unseen,52,486.3524,2.15257,630.46376,25.0314,9.1495,0.0253,0.025,0.33709,2.02849,0.15733,0.14038,0.10626,0.14061,0.18326,30.29208,10.550879,52,486.3524034419302,2.1525743424093133,630.46376,4539.586347291676,2213.9368642016007,2487.1422918498797,94.15863498228585,0.3439636396316236,2.082353630177878,0.1845296962631429,0.1648770879754944
mp-604996,CuH12N2(Cl2O)2,unseen,42,477.03593,1.93169,554.93096,22.1392,7.8905,0.0165,0.0247,0.34072,2.05666,0.15901,0.14201,0.11085,0.14296,0.18255,17.65649,7.828156,42,477.0359262115356,1.931687927472072,554.93096,3813.630004267492,2013.0810140590927,2250.532376918425,85.75210302550036,0.3068636193874146,1.8160819221371485,0.2033804581791413,0.1777093144744981
mp-569026,Nb10Se40I3,unseen,106,3099.03954,4.78831,8936.35442,18.9217,10.0079,0.0311,0.0571,0.27518,1.62864,0.1731,0.14492,0.07999,0.14387,0.25197,13.004318,8.950219,106,3099.039540009001,4.788311170783842,8936.35442,2282.123414883716,1367.179859627097,1512.6582146530247,30.88931764787972,0.2200908797917104,1.366051312734229,0.2108067562548395,0.1583511295311675
mp-4721,RbSb3Se5,unseen,36,1115.19063,5.03614,3382.1912,13.157,6.5716,0.0609,0.0718,0.28591,1.68861,0.17449,0.14851,0.07001,0.14579,0.30173,16.111021,8.557749,36,1115.1906340263758,5.036144005155431,3382.1912,2337.684076476338,1303.559013761293,1451.4150169566096,41.669515549771575,0.2743638601986041,1.6242094616551648,0.2811018212521902,0.2350310381075779
mp-650336,PCN2Cl3,unseen,84,1830.79982,1.93036,2128.28234,10.6206,6.5855,0.1764,0.0328,0.24307,1.46728,0.19135,0.15102,0.07005,0.15137,0.28577,6.8090644,3.7241004,84,1830.7998228598733,1.9303563053573272,2128.282344,2469.750466751775,1388.9670662589374,1545.4489731153587,37.61123493639572,0.2687018033400802,1.593987208738741,0.0685195707723039,0.0567495745138564
mp-754388,BaSrI4,unseen,24,1288.40649,3.77661,2930.25952,16.8467,5.8135,0.0669,0.0439,0.34526,2.09276,0.16907,0.15108,0.09094,0.15152,0.25439,13.223248,6.637791,24,1288.4064913949435,3.7766112228809128,2930.25952,2417.607474978056,1325.7469980495837,1478.0473846973982,40.440259420549935,0.2849877473297267,1.6833360217562348,0.3240390911237645,0.2754230009638197
mp-29344,LiGaCl3,unseen,40,894.67616,2.71756,1464.184,14.1832,6.6487,0.0698,0.1124,0.29729,1.75605,0.18636,0.16106,0.05284,0.15967,0.46521,16.762646,9.090422,40,894.6761596929997,2.717558425745749,1464.1840000000002,3260.1176887244305,1828.953103000337,2035.4121039203128,62.888843476529786,0.2703602473171508,1.6027500253494225,0.3601673471668961,0.2991426039606084
