material_id,rank_in_true_decile,true_kappa_proxy,true_K_GPa,true_G_GPa,n_ensembles_missing,n_singles_missing,missed_by_every_run,worst_pred_rank,best_pred_rank,missed_by_every_ensemble,missed_by_every_single,K_over_G_true,gamma_derived_true,formula,spacegroup,spacegroup_number,n_sites,rank__separate 3-ens (baseline),rank__joint r4 huber 3-ens,rank__joint r5 ens B,rank__joint r5 ens C,rank__r7 matbench a=0.4,rank__r7 +AFLOW a=0.0,rank__r7 +AFLOW a=0.4,rank__separate 1-model,rank__r4 huber s42,rank__r4 huber s1,rank__r4 huber s2,rank__r5 huber s3,rank__r5 huber s4,rank__r5 huber s5,rank__r5 huber s6,rank__r5 huber s7,rank__r5 huber s8,rank__r7 mb a=0.4 s42,rank__r7 mb a=0.4 s1,rank__r7 mb a=0.4 s2,rank__r7 af a=0.0 s42,rank__r7 af a=0.0 s1,rank__r7 af a=0.0 s2,rank__r7 af a=0.4 s42,rank__r7 af a=0.4 s1,rank__r7 af a=0.4 s2
mb-10867,19,0.6898743608192066,73.99999679089139,6.999999655588273,7,19,True,734,323,True,True,10.571428633116483,3.421232881498236,TmAg3,Pm-3m,221,4,655,427,558,435,515,565,602,734,325,515,448,582,469,619,412,480,421,718,530,323,386,650,643,567,530,717
mb-00213,20,0.7033970253716244,29.99999856460039,5.0000001782354415,1,6,False,260,34,False,False,5.999999499037566,2.8928570565944742,NaTeAu,P6_3/mmc,194,6,152,136,107,83,106,170,90,54,170,169,88,244,85,64,88,181,34,123,59,190,147,260,142,70,151,82
mb-08647,21,0.7749869335068004,3.000000062327188,2.000000065950592,0,0,False,21,4,False,False,1.4999999817006504,1.396551712388051,HgI2,(symmetry analysis failed),-1,6,6,9,8,6,16,7,14,8,7,10,13,15,4,8,6,6,8,21,15,15,8,7,5,9,15,20
mb-08954,22,0.7749869335068004,3.000000062327188,2.000000065950592,0,0,False,18,6,False,False,1.4999999817006504,1.396551712388051,Pt(SCl3)2,P-1,2,9,17,8,7,10,7,8,6,17,14,6,7,12,7,6,8,15,18,8,8,8,6,10,9,8,7,8
mb-10833,23,0.8314880733310157,85.9999956543673,8.000000242428033,7,16,False,318,135,True,False,10.749999131033269,3.4349111768856746,Cu2Se,Fm-3m,225,3,233,227,172,187,230,183,226,222,314,135,280,176,164,202,196,182,214,255,236,213,172,141,318,213,237,278
mb-08554,24,1.0717086915829985,6.000000322506156,3.000000062327188,0,0,False,70,6,False,False,2.000000065950592,1.6875000347786322,Hg,P2_1/c,14,6,26,14,21,12,15,29,13,19,24,19,15,14,57,18,22,10,11,15,19,13,70,14,39,22,6,27
mb-07392,25,1.0717086915829985,6.000000322506156,3.000000062327188,0,0,False,76,12,False,False,2.000000065950592,1.6875000347786322,Cs2PdI6,Fm-3m,225,9,47,22,18,24,26,19,26,76,21,31,29,23,27,15,20,21,37,23,33,29,49,12,23,27,32,30
mb-03099,26,1.0717086915829985,6.000000322506156,3.000000062327188,0,0,False,138,9,False,False,2.000000065950592,1.6875000347786322,VI3,P6_3/mmc,194,8,9,24,31,26,14,15,29,18,29,23,34,138,14,17,29,50,12,17,10,16,44,19,11,11,43,58
mb-04524,27,1.0970837388228527,2.000000065950592,2.000000065950592,0,0,False,30,3,False,False,1.0,1.0384615384615383,Pd(SeBr3)2,P-1,2,9,5,11,11,13,12,9,11,3,18,22,8,17,11,10,15,13,17,30,7,10,13,8,10,21,12,11
mb-04757,28,1.174379205152858,10.999999970229567,4.000000263802373,0,1,False,177,48,False,False,2.749999811193273,2.034246498813559,CsMgBr3,P6_3/mmc,194,10,153,75,93,111,78,75,100,152,75,67,106,105,86,106,68,177,115,116,48,100,80,66,84,95,106,137
mb-06949,29,1.2051968485469629,27.99999662611635,6.000000322506156,0,0,False,36,11,False,False,4.6666658535146475,2.6249998094174756,AgI,I-4m2,119,2,14,12,26,18,18,18,20,15,11,21,22,27,36,23,13,32,28,16,17,21,29,16,27,23,34,19
mb-09862,30,1.2871742591051845,5.0000001782354415,3.000000062327188,0,0,False,89,13,False,False,1.6666666914522645,1.5000000148713584,WOF4,P-1,2,12,19,29,15,23,17,21,16,53,89,24,21,18,18,20,18,31,27,27,13,17,16,22,80,16,22,22
mb-05539,31,1.2871742591051845,5.0000001782354415,3.000000062327188,0,0,False,19,7,False,False,1.6666666914522645,1.5000000148713584,TiCl3,P6_3/mcm,193,8,11,7,9,8,10,10,9,9,9,9,9,10,9,9,12,11,7,13,12,14,9,11,13,19,11,7
mb-06852,32,1.2985273890172153,17.000001561047377,5.0000001782354415,0,0,False,88,23,False,False,3.4000001910093682,2.272277290918204,Rb2TeBr6,Fm-3m,225,9,31,36,35,27,47,38,60,31,46,33,36,56,43,25,58,23,24,32,67,74,55,36,35,88,88,38
mb-02504,33,1.4069105979590313,183.0000346135133,12.99999958354357,7,13,False,517,87,True,False,14.076926190456902,3.6384390347827233,SrAcTl2,Fm-3m,225,4,429,181,246,266,232,259,244,517,307,276,87,348,276,155,409,131,410,257,129,376,129,445,358,477,146,237
mb-04675,34,1.4585700622601838,9.000000373963129,4.000000263802373,0,0,False,65,7,False,False,2.2499999451019512,1.81343280940526,HgCl,I4/mmm,139,4,18,18,37,14,34,20,17,45,57,16,17,65,29,34,7,41,23,19,39,51,7,65,38,41,9,18
mb-04569,35,1.491452503708372,15.000001875678118,5.0000001782354415,0,0,False,111,35,False,False,3.000000268194349,2.1315790476627026,Tl2WCl6,Fm-3m,225,9,64,60,68,63,57,43,81,50,76,50,75,104,44,74,43,66,79,55,72,69,56,35,65,67,111,83
mb-06970,36,1.5530063743157825,31.999998688298522,6.999999655588273,0,0,False,73,14,False,False,4.571428608964592,2.602409647564987,AgClO3,P2_13,198,20,27,26,27,31,39,35,30,30,15,17,66,40,22,24,24,35,29,59,16,66,39,73,14,35,41,24
mb-05450,37,1.5858622073925868,4.000000263802373,3.000000062327188,0,0,False,66,19,False,False,1.333333393566484,1.285714327201404,PdI2,P2_1/c,14,12,21,23,24,21,22,27,39,28,28,41,19,32,21,33,19,19,33,37,21,20,48,26,24,34,24,66
mb-10359,38,1.5858622073925868,4.000000263802373,3.000000062327188,0,0,False,64,10,False,False,1.333333393566484,1.285714327201404,MgCl2,P-4m2,115,3,15,28,19,19,20,14,23,37,64,32,16,26,19,21,37,24,16,10,28,44,21,18,19,13,44,34
mb-02612,39,1.5858622073925868,4.000000263802373,3.000000062327188,0,3,False,234,31,False,False,1.333333393566484,1.285714327201404,YbI2,P-3m1,164,3,121,78,70,69,101,54,114,232,60,78,114,83,65,71,67,106,55,105,186,55,91,31,55,86,234,90
mb-07390,40,1.6500036995239051,8.000000242428033,4.000000263802373,1,3,False,409,20,False,False,1.9999999287058265,1.6874999624034626,AlPS4,P222,16,12,409,116,77,91,56,69,48,190,52,335,94,102,34,95,91,29,265,90,45,72,20,136,90,37,85,37
mb-04804,41,1.6500036995239051,8.000000242428033,4.000000263802373,0,0,False,58,13,False,False,1.9999999287058265,1.6874999624034626,Cs2PtI6,Fm-3m,225,9,29,25,14,28,31,17,31,20,22,39,25,20,23,14,25,22,46,35,34,26,58,13,20,30,42,29
mb-09521,42,1.6500036995239051,8.000000242428033,4.000000263802373,0,0,False,96,10,False,False,1.9999999287058265,1.6874999624034626,PtCl2,Pnnm,58,6,28,17,17,55,46,28,22,70,31,42,11,22,10,37,48,81,40,68,96,18,18,56,33,25,49,14
mb-07494,43,1.6500036995239051,8.000000242428033,4.000000263802373,3,9,False,291,65,False,False,1.9999999287058265,1.6874999624034626,As2Se3,P2_1/c,14,20,203,253,124,133,203,136,107,278,271,250,270,235,88,115,65,145,249,291,231,148,180,129,110,140,78,136
mb-01917,44,1.6500036995239051,8.000000242428033,4.000000263802373,0,0,False,130,37,False,False,1.9999999287058265,1.6874999624034626,Cs2SnBr6,Fm-3m,225,9,45,44,50,45,45,55,74,44,50,61,38,73,46,45,47,43,61,48,54,50,72,57,37,66,130,54
mb-10048,45,1.678185578629934,41.00000492084245,8.000000242428033,0,3,False,252,32,False,False,5.125000459799834,2.7266010816246533,Bi,C2/m,12,2,104,103,97,87,152,66,143,165,119,82,120,91,137,84,103,84,87,131,252,115,110,32,92,155,113,199
mb-09918,46,1.6972325956552696,89.99999138760265,10.999999970229567,0,3,False,221,38,False,False,8.181817421016264,3.197368334988226,La2AgRu,Fm-3m,225,4,59,118,123,118,80,89,109,75,128,147,81,155,176,78,221,158,58,94,93,78,38,121,156,171,126,71
mb-07833,47,1.7448327050125811,20.00000203195368,6.000000322506156,0,0,False,123,9,False,False,3.333333492822185,2.250000053827486,Na3SbSe4,I-43m,217,8,33,81,47,20,23,98,42,27,86,89,73,109,90,16,28,9,45,12,31,48,123,87,113,17,103,52
mb-04133,48,1.7448934207144113,12.99999958354357,5.0000001782354415,0,2,False,230,81,False,False,2.5999998240262907,1.9719100373802187,CsMgCl3,P6_3/mmc,194,10,120,92,137,131,105,86,111,173,87,96,121,230,118,118,162,125,121,129,82,132,94,81,100,91,134,139
mb-10879,49,1.807099779357115,66.00000336894507,10.0,7,19,True,854,184,True,True,6.6000003368945075,2.9899329371208014,MgAgAs,F-43m,216,3,414,606,554,673,321,447,429,524,507,566,764,395,835,450,654,535,854,403,184,474,407,249,733,513,352,421
mb-03345,50,1.9503649982746352,26.000001808626838,6.999999655588273,1,2,False,263,14,False,False,3.714286155410078,2.3716217548410103,Tl,P6_3/mmc,194,2,251,51,41,59,92,32,84,263,49,233,14,21,99,46,21,97,65,75,112,97,36,63,18,92,97,81
mb-04468,51,2.0874870002779433,10.999999970229567,5.0000001782354415,0,0,False,124,46,False,False,2.199999915622322,1.7891565851684323,PuBr3,Immm,71,8,84,82,62,109,72,85,63,122,90,102,51,51,100,68,124,124,94,93,77,75,101,64,115,99,59,46
mb-01899,52,2.0874870002779433,10.999999970229567,5.0000001782354415,0,1,False,201,57,False,False,2.199999915622322,1.7891565851684323,Cs2H6Pt,Fm-3m,225,9,134,86,109,70,84,121,77,201,100,74,96,95,115,129,102,80,57,70,85,104,115,130,127,116,62,64
mb-01646,53,2.0874870002779433,10.999999970229567,5.0000001782354415,0,0,False,103,32,False,False,2.199999915622322,1.7891565851684323,Rb2TiCl6,Fm-3m,225,9,103,39,33,40,49,70,44,72,58,46,37,42,32,36,56,36,53,52,51,56,67,101,51,71,33,45
mb-06254,54,2.131708521306416,71.00000790987052,10.999999970229567,1,6,False,237,70,False,False,6.454546191093196,2.967492375384662,YbSnAu2,Fm-3m,225,4,159,135,114,167,120,135,147,147,213,159,70,110,76,182,171,132,237,176,98,131,131,143,140,189,157,130
mb-04473,55,2.191994172476987,6.000000322506156,4.000000263802373,0,0,False,113,17,False,False,1.4999999817006504,1.396551712388051,LaI3,Immm,71,8,36,57,42,50,60,44,47,33,17,94,92,39,42,47,109,42,42,61,113,43,61,34,61,51,52,48
mb-05348,56,2.263402047678307,52.99999485089853,10.0,7,19,True,681,219,True,True,5.299999485089853,2.762548158922983,CeTe,Fm-3m,225,2,447,418,545,415,293,489,351,536,483,280,534,557,586,491,681,290,315,219,369,330,441,442,585,295,469,288
mb-02768,57,2.2726283622202215,41.00000492084245,9.000000373963129,3,10,False,651,110,False,False,4.5555559130258345,2.5985916354545466,LiPmTl2,Fm-3m,225,4,129,154,160,176,310,144,293,150,210,110,156,113,246,194,293,159,153,651,191,220,126,154,193,411,425,128
mb-06484,58,2.2952736060270893,66.00000336894507,10.999999970229567,4,9,False,261,98,False,False,6.000000322506153,2.8928571983907254,TbTlAg2,Fm-3m,225,4,197,191,168,147,183,124,154,214,176,261,189,172,156,200,159,144,158,181,159,257,98,145,154,148,187,160
mb-01365,59,2.3059501672209404,10.0,5.0000001782354415,0,0,False,52,10,False,False,1.9999999287058259,1.6874999624034621,CsSnI3,Pnma,62,20,35,13,20,30,28,13,19,52,10,18,27,24,20,29,36,25,30,18,40,37,23,21,15,20,31,16
mb-05029,60,2.3059501672209404,10.0,5.0000001782354415,0,0,False,152,36,False,False,1.9999999287058259,1.6874999624034621,RbI,Fm-3m,225,2,108,84,74,92,97,48,41,120,43,124,104,99,61,59,95,103,86,53,152,114,43,43,63,55,47,36
mb-10262,61,2.3578041821549878,29.99999856460039,8.000000242428033,3,9,False,323,47,False,False,3.749999706936917,2.3823528535617595,KCl,Pm-3m,221,2,96,180,167,204,129,148,125,47,280,211,119,323,116,162,189,174,298,133,164,106,87,176,256,111,181,108
mb-02604,62,2.381475230291339,79.00000435827833,11.99999857031013,6,15,False,375,94,False,False,6.583334480867079,2.9873951330183317,LiBiPd2,Fm-3m,225,4,199,224,221,178,201,190,149,279,233,210,245,215,375,148,200,212,149,230,239,170,293,238,94,221,174,102
mb-02056,63,2.393422941042742,15.000001875678118,6.000000322506156,0,0,False,156,75,False,False,2.500000178235445,1.9285715071405205,Cs2PtF6,Fm-3m,225,9,75,104,140,104,117,97,102,93,88,115,122,156,148,132,93,111,101,126,115,141,92,95,134,154,77,113
mb-01136,64,2.393422941042742,15.000001875678118,6.000000322506156,0,0,False,98,19,False,False,2.500000178235445,1.9285715071405205,BaI2,Pnma,62,12,53,32,67,47,32,46,57,64,19,37,47,52,98,77,53,46,60,29,38,31,51,42,49,59,46,76
mb-10805,65,2.448689675789015,137.00002845151565,15.000001875678118,7,17,False,1057,69,True,False,9.133334088021384,3.2967915166882675,Zr3Pt,Pm-3m,221,4,274,701,684,470,761,369,743,69,860,1005,330,1057,270,824,633,889,125,693,960,619,168,658,413,522,665,1051
mb-07421,66,2.470594621099383,20.99999796198515,6.999999655588273,0,0,False,97,20,False,False,2.9999998564600405,2.1315788936900417,BaI2,P-62m,189,9,57,33,73,51,29,51,46,88,20,36,48,55,97,81,55,45,63,26,29,38,47,53,46,61,29,57
mb-08930,67,2.475589675618114,76.00000111158127,11.99999857031013,0,0,False,154,22,False,False,6.3333341805237495,2.948275998062659,PbAuO2,R-3m,166,4,89,48,63,78,61,57,49,84,93,43,41,34,141,67,154,76,48,66,47,117,22,50,132,33,45,79
mb-05051,68,2.527763171583803,90.99999260745268,12.99999958354357,0,0,False,102,4,False,False,6.999999655588273,3.0483870483916915,SmAgAu2,Fm-3m,225,4,13,30,34,11,19,26,36,4,34,38,33,86,25,28,10,16,13,9,23,42,37,9,102,50,18,63
mb-00125,69,2.5777641445141724,14.000000733544052,6.000000322506156,0,0,False,125,33,False,False,2.333333330171615,1.8529411749936608,RbAuS,(symmetry analysis failed),-1,6,69,56,65,41,73,73,67,77,33,111,42,64,53,93,41,33,68,102,100,49,60,125,43,73,57,86
mb-08633,70,2.5777641445141724,14.000000733544052,6.000000322506156,5,12,False,677,63,False,False,2.333333330171615,1.8529411749936608,ScCl,R-3m,166,4,122,121,284,207,446,186,165,63,97,152,128,509,169,239,352,192,157,251,677,496,241,171,168,112,291,150
mb-10538,71,2.5777641445141724,14.000000733544052,6.000000322506156,0,0,False,113,13,False,False,2.333333330171615,1.8529411749936608,Na2CS3,(symmetry analysis failed),-1,12,37,76,57,74,48,77,52,40,112,77,58,98,109,27,52,68,106,28,50,103,90,72,77,113,13,96
mb-01679,72,2.5777641445141724,14.000000733544052,6.000000322506156,0,0,False,113,30,False,False,2.333333330171615,1.8529411749936608,Tl2PdCl4,P4/mmm,123,7,30,49,60,64,40,53,61,41,51,72,45,80,54,62,33,57,113,43,44,45,53,40,76,68,64,65
mb-03506,73,2.5842173911227997,5.0000001782354415,4.000000263802373,0,0,False,7,1,False,False,1.2499999621206215,1.2272727002249724,I,(symmetry analysis failed),-1,4,3,4,4,4,5,1,3,7,3,5,3,3,5,4,3,4,4,4,5,7,2,4,1,2,3,4
mb-02000,74,2.6122227039345955,88.00000242854486,12.99999958354357,7,19,True,495,173,True,True,6.769231172894978,3.015228485722375,Cs2NaAlH6,Fm-3m,225,10,441,244,261,265,243,316,221,294,287,294,181,296,250,242,470,229,207,173,429,202,231,293,495,242,235,226
mb-10668,75,2.615274191985375,71.99999529193418,11.99999857031013,0,2,False,188,31,False,False,6.000000322506156,2.8928571983907263,Ag3Ge,Fm-3m,225,4,78,58,78,95,85,127,73,86,55,75,63,166,50,42,123,96,77,65,76,137,188,79,143,31,133,93
mb-05895,76,2.649617339851789,27.00000353563863,8.000000242428033,0,0,False,96,15,False,False,3.3750003396804917,2.2639752685019596,BaTlHg2,Fm-3m,225,4,39,31,38,37,33,33,32,49,16,30,60,43,96,22,62,27,49,25,41,34,19,84,28,15,53,51
mb-00698,77,2.649617339851789,27.00000353563863,8.000000242428033,7,19,True,885,607,True,True,3.3750003396804917,2.2639752685019596,Sr(CdGe)2,I4/mmm,139,5,690,750,779,778,777,663,802,666,694,703,826,877,701,759,805,801,692,765,808,735,607,660,711,857,649,885
mb-08901,78,2.6974357189959557,45.00000347393469,10.0,3,8,False,505,38,False,False,4.500000347393469,2.5851064679006175,CaBi3,Pm-3m,221,4,123,145,165,86,111,251,191,91,95,351,116,240,313,83,38,98,124,88,277,58,265,505,101,217,315,115
mb-07330,79,2.7579067583269534,19.000001632484718,6.999999655588273,0,0,False,133,52,False,False,2.714286081045239,2.0196851897894548,Ag2S,(symmetry analysis failed),-1,6,73,79,79,88,66,82,72,79,99,92,56,79,58,102,89,70,111,86,81,63,133,80,52,82,80,69
mb-09111,80,2.8812571625534447,8.000000242428033,5.0000001782354415,0,1,False,174,27,False,False,1.5999999914502656,1.4594594541900379,CrP2S7,C2,5,10,82,85,40,58,55,41,51,111,174,27,102,29,37,92,74,49,67,77,35,86,40,46,41,78,27,62
mb-01604,81,2.8812571625534447,8.000000242428033,5.0000001782354415,0,0,False,66,12,False,False,1.5999999914502656,1.4594594541900379,CrBr3,R-3,148,24,24,20,22,25,27,30,21,66,36,20,23,38,26,12,23,37,22,40,22,24,30,25,45,39,26,13
mb-05791,82,2.9489027078654053,78.00000169384131,12.99999958354357,2,6,False,276,28,False,False,6.000000322506156,2.8928571983907263,LiYHg2,Fm-3m,225,4,144,163,88,165,134,180,86,167,136,213,159,28,181,137,244,112,183,144,137,130,276,138,155,107,109,61
mb-01771,83,3.018488070593803,23.99999957896438,8.000000242428033,0,3,False,210,29,False,False,2.9999998564600396,2.1315788936900413,Tl2SO4,Pnma,62,28,38,91,153,107,65,67,92,29,56,185,79,210,162,123,78,122,123,58,118,54,105,33,117,180,95,55
mb-06528,84,3.0312507269827447,11.99999857031013,6.000000322506156,0,0,False,157,26,False,False,1.9999996542163214,1.6874998176531266,CsCl,Fm-3m,225,2,107,50,49,52,79,56,34,157,45,53,68,46,30,96,76,74,26,69,75,112,41,55,69,38,37,33
mb-07687,85,3.0312507269827447,11.99999857031013,6.000000322506156,0,0,False,140,21,False,False,1.9999996542163214,1.6874998176531266,Sr,Im-3m,229,1,66,54,72,97,63,76,54,131,32,108,43,84,68,65,140,89,75,74,70,82,104,76,47,136,48,21
mb-04854,86,3.0312507269827447,11.99999857031013,6.000000322506156,1,4,False,246,75,False,False,1.9999996542163214,1.6874998176531266,DyCl3,Immm,71,8,133,140,101,138,168,156,105,132,125,157,155,101,79,141,132,175,135,145,246,151,145,153,201,75,110,197
mb-10136,87,3.0910714255158327,31.00000309911223,9.000000373963129,7,19,True,500,256,True,True,3.4444446456685482,2.286885311606364,Cu2SnSe4,I-42m,121,7,256,365,347,356,426,315,407,304,323,431,356,303,379,377,262,492,313,411,374,497,334,291,350,359,365,500
mb-05745,88,3.1042187216352306,105.99997137526388,15.000001875678118,3,11,False,358,74,False,False,7.066663874698473,3.0576919204924735,PaSnAu2,Fm-3m,225,4,150,300,212,190,130,125,152,154,247,298,358,201,155,325,179,179,243,117,168,128,268,105,74,135,155,213
mb-07119,89,3.1634321916178307,22.99999987979638,8.000000242428033,1,4,False,251,43,False,False,2.874999897851976,2.0838925776965476,Rb2O,Fm-3m,225,3,43,94,187,116,137,90,137,83,84,109,109,125,221,251,133,119,107,103,150,197,46,98,183,160,159,117
mb-00504,90,3.2180634138396655,48.00000403461751,10.999999970229567,0,0,False,137,31,False,False,4.3636367422295335,2.551181198219343,Ag2SO4,Fddd,70,14,70,71,66,80,58,58,50,34,35,76,137,57,105,56,69,91,78,63,78,59,45,82,31,45,69,47
mb-04673,91,3.241388617213994,139.99996890690915,17.000001561047377,0,1,False,269,11,False,False,8.23529153242523,3.203389540757104,LiZrPt2,Fm-3m,225,4,50,61,58,38,70,68,70,57,269,26,26,71,84,49,11,101,41,82,79,79,102,30,138,64,131,50
mb-06413,92,3.2472415244395347,37.99999669507898,10.0,2,9,False,323,35,False,False,3.7999996695078977,2.397196164257935,NaAcHg2,Fm-3m,225,4,86,172,157,139,192,110,93,113,201,98,323,157,193,136,295,154,83,185,195,224,35,204,175,102,115,85
mb-01218,93,3.2652811301901097,6.999999655588273,5.0000001782354415,0,1,False,171,30,False,False,1.3999998812117354,1.3309858359630227,P2Pd3S8,P-3m1,164,13,149,111,48,117,62,99,59,60,42,171,148,30,52,114,105,137,129,67,95,62,69,164,95,36,87,68
mb-10614,94,3.2652811301901097,6.999999655588273,5.0000001782354415,0,0,False,140,28,False,False,1.3999998812117354,1.3309858359630227,BiTeBr,P3m1,156,3,51,77,45,61,50,80,56,89,110,56,80,35,64,58,107,62,47,84,60,28,140,68,54,79,40,56
mb-01040,95,3.306631033135236,137.00002845151565,17.000001561047377,5,13,False,479,97,False,False,8.058824463018167,3.183304755065457,HfZnAu2,Fm-3m,225,4,308,157,240,122,222,196,330,244,105,270,174,265,261,216,97,130,159,149,261,301,166,353,126,311,479,235
mb-10161,96,3.312433584257353,10.999999970229567,6.000000322506156,2,9,False,342,63,False,False,1.8333332298280525,1.5967741353872498,Li3SbS4,P-43m,215,8,100,152,131,177,100,187,104,215,137,125,191,63,165,227,127,151,342,107,105,107,185,193,226,83,101,187
mb-08884,97,3.3205893238742017,16.000002110419054,6.999999655588273,0,4,False,208,71,False,False,2.285714699663714,1.8305086712349372,RbFe2Se3,(symmetry analysis failed),-1,12,99,130,92,159,112,145,91,124,107,166,130,93,127,79,122,208,176,71,160,144,128,174,164,98,73,129
