material_id,rank_in_true_decile,true_kappa_proxy,true_K_GPa,true_G_GPa,n_ensembles_missing,n_singles_missing,missed_by_every_run,worst_pred_rank,best_pred_rank,missed_by_every_ensemble,missed_by_every_single,K_over_G_true,gamma_derived_true,formula,spacegroup,spacegroup_number,n_sites,rank__separate 3-ens (baseline),rank__joint r4 huber 3-ens,rank__joint r5 ens B,rank__joint r5 ens C,rank__r7 matbench a=0.4,rank__r7 +AFLOW a=0.0,rank__r7 +AFLOW a=0.4,rank__separate 1-model,rank__r4 huber s42,rank__r4 huber s1,rank__r4 huber s2,rank__r5 huber s3,rank__r5 huber s4,rank__r5 huber s5,rank__r5 huber s6,rank__r5 huber s7,rank__r5 huber s8,rank__r7 mb a=0.4 s42,rank__r7 mb a=0.4 s1,rank__r7 mb a=0.4 s2,rank__r7 af a=0.0 s42,rank__r7 af a=0.0 s1,rank__r7 af a=0.0 s2,rank__r7 af a=0.4 s42,rank__r7 af a=0.4 s1,rank__r7 af a=0.4 s2
mb-09477,105,3.694719433317806,51.99999462687741,11.99999857031013,7,18,False,626,158,True,False,4.333333401850023,2.5434782783549204,MgZn,P6_3/mmc,194,96,285,240,375,363,302,286,250,319,263,220,250,354,431,362,305,404,406,198,213,626,158,441,393,251,386,167
mb-07418,106,3.726604906850261,42.00000019107262,10.999999970229567,7,19,True,904,505,True,True,3.8181818458855954,2.402542381006557,Li2Sn5,P4/mbm,127,14,668,824,810,847,680,676,684,511,770,904,773,885,884,608,895,834,819,669,714,649,610,795,650,505,687,875
mb-10495,107,3.7863579043113877,102.00001484888952,16.000002110419054,7,19,True,1343,1009,True,True,6.375000087185492,2.9549356361930164,HfSn,P2_13,198,8,1184,1232,1172,1083,1182,1198,1199,1120,1216,1166,1278,1193,1079,1209,1024,1077,1150,1296,1166,1075,1186,1224,1139,1009,1220,1343
mb-04642,109,3.8145154931817897,72.99999897828906,14.000000733544052,7,17,False,432,136,True,False,5.214285368098645,2.745125277115244,CeNi,Immm,71,4,186,247,322,218,290,270,212,209,235,288,238,271,376,350,360,162,223,269,394,234,136,432,408,192,276,184
mb-00667,114,3.9614258150188175,58.999994304626384,12.99999958354357,7,17,False,479,137,True,False,4.538461245745981,2.5944624698585055,Cu12Sb4S13,I-43m,217,29,391,275,194,248,270,297,236,208,227,366,253,290,143,209,229,255,306,237,479,186,288,366,268,137,390,260
mb-06541,125,4.457199804910316,151.99997594360258,20.00000203195368,7,19,True,866,408,True,True,7.599998025037931,3.128048532662917,ErPaRu2,Fm-3m,225,4,559,641,661,599,550,658,681,408,600,751,564,681,758,538,486,585,700,594,500,574,663,856,482,663,866,491
mb-00920,128,4.546778402823324,61.99999547892942,14.000000733544052,7,19,True,994,338,True,True,4.4285708735983995,2.5674845244026177,Na2Ti2As2O,I4/mmm,139,7,338,741,805,729,826,617,873,487,793,659,766,868,942,571,589,856,735,972,684,824,813,611,457,879,764,994
mb-07270,130,4.675376506485635,42.00000019107262,11.99999857031013,7,14,False,393,81,True,False,3.500000432915649,2.3048781878491584,Nd3Tl,Pm-3m,221,4,165,183,225,275,241,188,203,81,166,168,247,114,277,393,301,282,282,380,233,164,141,245,246,208,150,329
mb-10973,133,4.749396067575228,49.999994920116315,12.99999958354357,7,19,True,765,339,True,True,3.8461535786055157,2.4107142078556714,InSb,Fm-3m,225,2,564,495,548,491,497,421,621,765,467,602,453,532,494,618,625,458,417,560,447,470,572,379,339,737,527,580
mb-00539,137,4.9456120806649935,104.99997914217107,18.000000106278666,7,18,False,966,122,True,False,5.833332140122907,2.863636150633483,Cs2NaMgF6,Fm-3m,225,10,699,627,654,466,529,631,390,966,610,568,687,590,637,743,698,204,567,678,345,569,487,644,735,721,122,555
mb-07339,143,5.02278030889195,89.99999138760265,17.000001561047377,7,16,False,378,104,True,False,5.2941166543079845,2.761363436300731,CdAu,Pmma,51,4,183,204,197,202,180,175,314,206,179,283,202,128,235,257,148,170,378,194,196,177,219,247,104,294,331,317
mb-06059,144,5.185080029909132,54.999994263275795,14.000000733544052,7,17,False,316,134,True,False,3.928570812964003,2.4344260544050105,Nd2AgHg,Fm-3m,225,4,230,257,174,249,274,204,233,286,266,231,304,134,316,158,261,241,289,261,306,267,209,215,233,248,232,275
mb-06082,146,5.270904662436631,85.9999956543673,17.000001561047377,7,19,True,919,334,True,True,5.058822809253249,2.712616669048678,YSe,Fm-3m,225,2,577,496,648,488,717,567,806,735,574,334,657,641,764,543,621,499,372,778,879,500,597,378,699,846,919,636
mb-01838,148,5.309800332710093,10.0,6.999999655588273,7,18,False,474,123,True,False,1.4285714988595395,1.3500000464955848,GaTe,(symmetry analysis failed),-1,12,247,354,277,215,225,232,313,314,288,474,316,327,198,326,237,210,228,222,296,189,342,265,123,356,342,252
mb-05750,154,5.56255601533479,106.99997084812867,19.000001632484718,7,18,False,613,138,True,False,5.631576929192915,2.8268097994577013,DyCu5,F-43m,216,6,353,373,308,251,268,427,185,237,506,363,285,297,367,266,590,171,175,188,258,399,505,227,613,214,254,138
mb-07274,156,5.608341710834534,29.00000362699078,10.999999970229567,7,19,True,670,175,True,True,2.636363973225134,1.9873097864575808,Rb3TaO8,I-42m,121,12,175,320,459,348,402,288,312,219,348,235,382,372,444,621,218,347,501,670,348,251,193,313,446,648,198,209
mb-06316,157,5.637388613674808,60.00000322506156,15.000001875678118,7,19,True,432,179,True,True,3.9999997148233084,2.454545375002367,SmDyHg2,Fm-3m,225,4,191,270,191,240,194,261,282,189,399,186,260,179,209,191,307,242,219,199,235,184,256,252,295,432,191,292
mb-06467,159,5.726722438549876,207.9999636783232,25.00000178235445,7,19,True,1385,907,True,True,8.319997953965514,3.212814419311262,MnSiRh2,Fm-3m,225,4,1281,1263,1277,1233,1338,1197,1283,1330,1230,1312,1225,1313,1200,1319,1101,1290,1288,1372,1334,1284,907,1249,1385,1325,1151,1328
mb-07723,161,5.7607412728688585,42.00000019107262,12.99999958354357,7,19,True,909,694,True,True,3.2307693489651763,2.214843791147468,Ba(AlGe)2,I4/mmm,139,5,855,803,826,834,806,800,840,909,772,835,779,900,736,830,820,894,779,784,835,773,780,882,694,758,883,869
