mp_id,mb_id,formula
mp-4652,mb-08931,MnRh2Pb
mp-4771,mb-05235,TiAlCu2
mp-4992,mb-06694,ScCrC2
mp-505110,mb-06843,FeCuO2
mp-505540,mb-01562,TiAsRh
mp-5076,mb-08008,SrZrO3
mp-510404,mb-05911,GdSe
mp-510430,mb-02723,Li13In3
mp-5112,mb-00751,Pr(CoSi)2
mp-5122,mb-00487,Na3AlP2
mp-5396,mb-07182,MnCo2Sb
mp-5400,mb-10312,Th(CrSi)2
mp-542429,mb-02682,Mg3Rh
mp-542583,mb-05099,EuTe
mp-546546,mb-09028,SiO2
mp-546633,mb-09388,KClO4
mp-5501,mb-09803,Tl(CoS)2
mp-551918,mb-09728,AlBiO3
mp-554352,mb-08092,Ba2CuF6
mp-554601,mb-08056,RbCuF3
mp-554769,mb-08259,MoSBr
mp-556194,mb-08200,SrSbSe2F
mp-5566,mb-07369,KCuF3
mp-556961,mb-07328,SiO2
mp-558518,mb-09563,K(NiS)2
mp-558781,mb-02407,ScTaO4
mp-559,mb-02015,YPd3
mp-559998,mb-02566,Cs(OsO3)2
mp-561751,mb-02333,CsErS2
mp-567220,mb-05062,Hf2SbP
mp-567412,mb-01854,Y5Sn3
mp-567629,mb-02157,CsPbBr3
mp-568337,mb-02257,ThRh2
mp-568371,mb-02270,Tm(SiRu)2
mp-568469,mb-01639,Ca4TiN4
mp-569298,mb-05010,Ca(CoAs)2
mp-569364,mb-02147,Be22Re
mp-569775,mb-08503,ZrAl3
mp-570198,mb-09176,Ba(ZnAs)2
mp-570784,mb-03636,Hf2Al3C4
mp-570811,mb-10597,PrRe2
mp-571059,mb-08660,YCd3
mp-571310,mb-09263,ZrInPt2
mp-571467,mb-01848,Cs2NaYBr6
mp-572,mb-02017,SmCd
mp-573316,mb-02297,CsPt2Se3
mp-580,mb-09379,PuB2
mp-601842,mb-02576,Fe9Co7
mp-620290,mb-08106,Sr2TlCuO5
mp-625487,mb-10360,Zn(HO)2
mp-636334,mb-00338,SnRh2
mp-643264,mb-06570,BaMg2FeH8
mp-647557,mb-08841,ZrPbO3
mp-6521,mb-08962,LiLaTiO4
mp-672195,mb-07038,CeAgAs2
mp-676,mb-00424,CaN6
mp-691,mb-05203,SnSe
mp-696114,mb-09471,CoCl2
mp-7003,mb-00860,CePPd
mp-7006,mb-08191,SrNbO3
mp-7027,mb-05034,InBO3
mp-7140,mb-07190,SiC
mp-7188,mb-00964,Al2Os
mp-723,mb-02245,Cr23C6
mp-7275,mb-08158,BaSi2
mp-733,mb-02472,GeO2
mp-7473,mb-01099,LiCu2Si
mp-75,mb-10322,Nb
mp-753181,mb-09008,SrCu2O3
mp-753946,mb-07858,LiCoS2
mp-754349,mb-07928,GdOF
mp-754537,mb-10076,LiLuO2
mp-754808,mb-10404,La2MgO4
mp-7557,mb-00703,Nb5SiSn2
mp-756490,mb-07645,Li6MnS4
mp-7576,mb-10086,CrSi
mp-7596,mb-05341,NbNO
mp-7608,mb-02624,Li2PdO2
mp-774092,mb-10016,Na3CoO3
mp-775907,mb-09700,Y2O3
mp-776490,mb-09594,Al2O3
mp-7819,mb-05109,Pd4S
mp-7879,mb-00701,Sr(AgGe)2
mp-7948,mb-05793,ReSi
mp-8044,mb-00673,V2PC
mp-8125,mb-02935,LuCuSi
mp-820,mb-06040,HgSe
mp-8249,mb-05216,TlPS3
mp-8282,mb-02629,Ti2N
mp-8452,mb-00107,NaLiS
mp-8481,mb-00091,LiPrGe
mp-862364,mb-05811,Sc2OsPt
mp-862620,mb-03228,IrRu3
mp-862745,mb-10793,Sr2LiPt
mp-862790,mb-07174,FeSiTc2
mp-863676,mb-00293,Pm2CuSn
mp-863717,mb-01148,Pm2NiRu
mp-864892,mb-08196,NdAgAu2
mp-864896,mb-06149,Zr2CoTc
mp-864920,mb-06337,MgZrAu2
mp-864952,mb-08104,Mg3Ag
mp-864971,mb-06063,MnSnRu2
mp-865138,mb-06434,Hf2MnIr
mp-865854,mb-05645,Yb2CuRh
mp-865868,mb-06459,LiZrRh2
mp-865925,mb-00583,LiZrIr2
mp-866069,mb-06220,MgScRh2
mp-866152,mb-05175,TiBeCo2
mp-866161,mb-03093,VRh3
mp-867149,mb-06426,Sr2CdSn
mp-867840,mb-07656,BeFeRh2
mp-8732,mb-04967,Ta2Se
mp-877,mb-00294,Er2In
mp-900,mb-10699,RhSe
mp-924129,mb-01168,ZrNiSn
mp-9549,mb-00080,ScFeGe
mp-9577,mb-08349,Ca3(AlSi)2
mp-961649,mb-10032,ZrFeTe
mp-972530,mb-08118,Sm2AgRh
mp-972884,mb-08383,Sc2AlCu
mp-973561,mb-10890,LiCe2Ru
mp-973622,mb-10814,K3Sr
mp-973653,mb-06140,Lu2ZnAg
mp-973983,mb-10444,NiPd3
mp-974517,mb-07245,NdErMg2
mp-975044,mb-00632,Li(SiRh)2
mp-975190,mb-10960,RbTeO3
mp-975640,mb-00387,Pr3(CuSn)4
mp-975868,mb-09694,Li3Al
mp-976419,mb-10181,Hf3Bi
mp-977404,mb-09639,Nd2AgIr
mp-977549,mb-06364,Zr2OsRu
mp-977586,mb-02954,MgSc2In
mp-978256,mb-06097,Mg2TlPb
mp-978545,mb-05708,Sm2AgHg
mp-978918,mb-10783,TbZr
mp-979026,mb-07775,SmTm3
mp-979715,mb-08424,YHoAl2
mp-980001,mb-09562,YbPr3
mp-981207,mb-00254,Yb3In3Ge2Au
mp-9827,mb-00019,RbHg2
mp-984049,mb-08871,CeYZn2
mp-989533,mb-00555,NaTl2InF6
mp-9988,mb-08900,Nb2CS
