gid,formula,n_sites,K_VRH,G_VRH,gamma,kappa_agl,density_g_cm3,volume_m3
ag-80202f2921a9,Al3Pr1,4,84.9528,61.9775,1.48054,20.2019,4.65696,7.910618823752558e-29
ag-5acbf212d178,Cs1,1,2.22778,0.630101,1.48274,0.148068,1.91348,1.1533681828086898e-28
ag-27ed5fb0514e,Gd1Mg1,2,62.5167,21.6397,1.48808,4.67375,5.41786,5.564543384963123e-29
ag-b3744e8adac3,Al1C1Tb3,5,35.6278,11.9888,1.49762,2.00545,5.5375,1.5466426953204936e-28
ag-0b0f4769040d,Dy4,4,41.1506,26.0604,1.50251,5.71828,8.61843,1.2523747286802815e-28
ag-0ca271f7da7f,Co4Dy4Ge4,12,83.7485,55.6128,1.51913,10.4245,8.4803,2.3033148767726604e-28
ag-5952bc520d57,N1Pu1,2,144.886,90.9559,1.52205,36.6746,14.2316,3.0104148851467594e-29
ag-ac085a73c29c,V1Zn3,4,96.2889,35.0179,1.52215,6.06174,7.30519,5.618374748403836e-29
ag-3a531e5b3aa9,B1H4Na1,6,20.9167,12.4896,1.53076,7.46572,1.10257,5.697814456925942e-29
ag-6460fdfb6bb2,B4H16Na4,24,20.4,12.5613,1.5363,3.12794,1.13721,2.2097024422130784e-28
ag-9782d5248273,Co1Sc1,2,70.4167,42.4054,1.53772,19.4033,4.75385,3.6288886011903514e-29
ag-b423dadc0feb,Mg1Tb2,3,39.5953,18.5495,1.53909,4.649,6.49411,8.748895640971121e-29
ag-8a4aa93da3d0,Hf2,2,109.909,55.1023,1.54506,19.0675,13.2146,4.485790231977268e-29
ag-726d23846430,Ho1Mg1,2,41.5833,19.6042,1.54628,6.36478,5.85147,5.370148725714261e-29
ag-4f2cacf7ff9a,Ca7Ge1,8,19.35,7.87138,1.55078,1.29657,2.01044,2.9171681362099222e-28
ag-dd8fe80eb93c,Al2Hf4,6,112.192,52.8378,1.55818,9.22553,10.4162,1.2242144638488967e-28
ag-8bc7e1a16279,Al4H12,16,35.0444,32.6478,1.56081,8.34334,1.097,1.8167755756660815e-28
ag-5588568293d3,Li2,2,13.9884,6.79437,1.5621,3.15764,0.568605,4.0540627188542486e-29
ag-05869eb71300,Zr2,2,94.658,35.9976,1.56414,14.7003,6.46795,4.684050303775336e-29
ag-885488e7060e,Co4Si6Zr6,16,131.641,86.8755,1.56448,11.5526,6.04784,2.612754314048155e-28
ag-0e2d4391f612,B12H12Tl2,26,12.1451,4.31411,1.56692,1.89286,2.85714,3.19999246649052e-28
ag-26c10d524c04,B4H16Hf1,21,3.93333,5.81964,1.56821,13.1745,1.81118,2.180774684692329e-28
ag-0df4010c4c8a,B4N4,8,36.7391,22.3851,1.56976,22.6644,0.754034,2.1861486560637223e-28
ag-235095bcd599,B6H24Y2,32,29.5333,17.3461,1.57124,3.08241,1.31951,3.3584070705456276e-28
ag-9e7d5ff7423c,Li23Sr6,29,12.8167,7.41574,1.57131,0.511623,1.40868,8.07899619716455e-28
ag-7e573b2c8475,B6H6K2,14,12.0333,9.77161,1.57286,10.454,1.40029,1.7682292864342527e-28
ag-e72d9d4159dc,Ba2Be26,28,89.4444,96.1777,1.57309,11.4948,2.82912,2.9873804725214863e-28
ag-b564fd983e6a,B6Yb1,7,159.572,79.402,1.57377,14.9926,5.55222,7.115211702319785e-29
ag-181c3843c017,Be26Lu2,28,113.161,122.192,1.57435,12.6346,3.77775,2.568119026340141e-28
ag-a513c57b2761,Be26Mg2,28,98.7111,99.2055,1.57862,13.4032,1.8282,2.5698003034212245e-28
ag-f51976eddf9e,Er1Zn1,2,59.5056,30.9824,1.58126,9.04826,8.76742,4.40670463543082e-29
ag-5c5618217287,B6Ca1,7,143.478,85.4684,1.58483,28.2052,2.44055,7.140341800220048e-29
ag-e3977bd14545,Be26Ho2,28,112.861,123.316,1.58995,12.922,3.56775,2.625852614947014e-28
ag-51715da4e741,Be26Er2,28,113.156,123.04,1.59004,12.7868,3.61307,2.6143204945515615e-28
ag-b7b87b545942,Be26Dy2,28,112.367,123.304,1.59318,12.9931,3.52111,2.6377116423202975e-28
ag-9b25336a7cbe,Be26Tb2,28,111.833,122.755,1.59367,13.0592,3.45876,2.650937307417106e-28
ag-6581a5fa5b7c,Be26Sc2,28,111.739,116.103,1.59485,14.7661,2.11143,2.5499030692246763e-28
ag-ae212ec034e7,Be26Ca2,28,94.9278,123.031,1.59614,17.9306,1.94471,2.6852037417734873e-28
ag-298e31465c44,Er2H2,4,69.1015,49.9346,1.59866,9.4282,9.30524,6.005515762887108e-29
ag-5f1511de835d,Al2Zr4,6,99.3378,40.8237,1.60068,8.43437,5.49056,1.2667776348689847e-28
ag-bcffe2cd231f,Be26Sb2,28,100.278,77.6648,1.60071,7.74314,2.92206,2.7154355521189654e-28
ag-114d17973983,B1Be2,3,145.728,136.525,1.60106,79.8454,2.00765,2.3849898349628295e-29
ag-64dd09f7a69e,Sc2,2,55.8657,33.319,1.60123,18.1683,2.81372,5.306217260468828e-29
ag-d8aa91de693b,Al1C1Tb3,5,76.8,57.7903,1.60331,13.5368,7.21699,1.1867182752556444e-28
ag-4f01f9799983,Sr1,1,11.1778,5.39757,1.60502,2.66941,2.6701,5.449100521159956e-29
ag-3158ffedfbc3,Co5Y1,6,84.3919,29.9891,1.60787,4.02615,6.63028,9.606472128772217e-29
ag-e3653e7c2fdd,Al1Co2Nb1,4,129.739,87.4073,1.60856,23.0936,7.06455,5.588470853526019e-29
ag-d73b0934ea26,Be26Sr2,28,94.7722,116.007,1.60859,14.5127,2.42047,2.8097227128410037e-28
ag-9f91094658af,Be26La2,28,105.761,110.345,1.60878,12.1913,3.0145,2.8210582399831176e-28
ag-70cb03626645,Be2Ta4,6,186.979,123.594,1.61119,23.8404,13.4125,9.184076463048751e-29
ag-0bdcb21b070e,Be26Hf2,28,125.944,140.939,1.6114,14.1184,3.97476,2.470265685070068e-28
ag-c2ee38d28f73,Al1C1Dy3,5,76.9278,58.4699,1.61171,13.965,7.4968,1.1661788102350181e-28
ag-800a34302145,Al1C1Gd3,5,80.65,51.6828,1.61201,9.83536,6.91793,1.2259555100413542e-28
ag-0a96527cdb83,C4Cr2Sc2,8,148.688,103.456,1.61219,25.97,4.35971,9.215341233517699e-29
ag-3a792a64d75b,Al1Tb3,4,49.8167,30.0666,1.61311,6.14948,7.67215,1.0903190839158657e-28
ag-69921200781a,Be5Fe1,6,116.528,124.593,1.61476,35.9199,3.14399,5.329476417094952e-29
ag-802ca601e72e,Er2Mg1,3,42.764,20.7923,1.61532,4.40438,7.12637,8.3610535166517e-29
ag-92cdec1b0786,C1Dy3Ga1,5,43.5056,17.8771,1.61574,2.79703,6.35884,1.4864893547805328e-28
ag-48e1c56b5a89,Al4Tb8,12,54.138,28.4362,1.61802,2.8517,7.1442,3.205998732501512e-28
ag-62f394dfa8c9,B12Yb1,13,199.311,185.138,1.61858,32.9105,4.76724,1.0546243408609913e-28
ag-e721c69e30fe,La1Mg1,2,35.3556,22.2898,1.61969,8.27996,4.3091,6.289419171361706e-29
ag-45291de1f333,B2Gd1,3,146.058,123.802,1.61978,45.3575,7.91068,3.754720756254522e-29
ag-3677ba6a2d1d,Al8Tb12,20,57.9702,29.2788,1.61996,2.17162,6.75335,5.22000521156929e-28
ag-440eed1fe4e9,Y1Zn1,2,58.2056,29.2814,1.62114,9.6607,5.59975,4.576022804259458e-29
ag-e84cd18d2105,B48,48,156.591,87.7272,1.62187,10.1441,2.3055,3.7375849783240284e-28
ag-85bb846caa38,Be44W2,46,133.083,151.928,1.62365,11.866,3.27059,3.880066093900789e-28
ag-de5897093b42,Be2Si1,3,98.7278,50.2261,1.6242,22.0829,2.07434,3.691161069429937e-29
ag-cf9657d40d9d,B6Pu1,7,151.728,99.2488,1.62444,20.6604,7.40462,6.92654125862604e-29
ag-a99a4e29778f,Al4Y8,12,52.9926,29.7262,1.62563,4.07048,4.24186,3.2067741346563544e-28
ag-f1d774fa5d76,Fe2Zr4,6,92.141,14.3518,1.62633,1.52389,6.5324,1.2114837909415034e-28
ag-4d44ca8da00e,Cs3H9Mg3,15,24.0836,19.6954,1.62667,1.84575,3.1937,2.49937628736096e-28
ag-ac17f9369248,Cs4Na8,12,5.11304,2.24474,1.62668,0.131432,1.83313,6.481711937226456e-28
ag-286acac732fe,Be26Zr2,28,123.939,140.33,1.62845,16.0662,2.76834,2.4998884496379752e-28
ag-d0a676571ed2,B6Er1,7,169.478,59.8431,1.62866,10.3357,5.65502,6.816114369790469e-29
ag-6975681558eb,B8Be4C8,20,193.66,153.144,1.6292,31.6826,2.31777,1.5662939656438688e-28
ag-e0ad2ad23e4a,B6Ho1,7,169.761,63.1052,1.62974,11.2188,5.57878,6.839950073688422e-29
ag-9bd9f59d06ba,H2Pu1,3,62.4722,19.4141,1.62984,2.38881,10.7912,3.7856677639556086e-29
ag-f4874036e493,B6Sr1,7,146.361,110.915,1.63001,31.7532,3.42219,7.399032786302559e-29
ag-66e5a7a576a4,Ho1Zn1,2,58.7556,25.7899,1.63011,6.39909,8.56431,4.466062524991256e-29
ag-f4c7b6df9a43,Be44Mo2,46,130.806,149.797,1.63202,12.7528,2.52059,3.8764248398066253e-28
ag-3bf25c232d2d,Be44Re2,46,136.306,151.936,1.63246,11.5216,3.35196,3.8093280604374224e-28
ag-9f75cf9217bb,B12Ni1,13,209.072,140.157,1.63288,25.6914,3.07762,1.016654875649793e-28
ag-989235fd2b67,C1Ga1Ho3,5,45.15,18.6515,1.63396,2.79809,6.543,1.4631540895434548e-28
ag-5790962d15c6,B6Gd1,7,172.794,76.3096,1.63419,14.4375,5.31981,6.933185495664799e-29
ag-a995537aee9b,B6Dy1,7,178.594,63.4007,1.63463,10.5437,5.50386,6.85973344918976e-29
ag-5b8a2c2cb85a,Be26Th2,28,117.35,118.316,1.63506,11.1723,4.12591,2.81079474486887e-28
ag-0259d68674b8,B28,28,223.147,235.923,1.63537,37.9524,2.56868,1.956874580610869e-28
ag-c5976272e8f2,B6Y1,7,171.244,64.5407,1.6355,13.567,3.70308,6.895453629636821e-29
ag-72ec133961a7,Be5Sc1,6,106.802,101.866,1.63582,32.544,2.34636,6.370567584777201e-29
ag-8268ae0f98d5,B1In1La3,5,42.3444,25.9459,1.63664,5.50418,5.80643,1.5510145492087123e-28
ag-99ff54e5e934,Be44Tc2,46,133.317,150.452,1.63754,12.4139,2.594,3.793096336357788e-28
ag-4a8db6076bc9,C12,12,81.2161,63.1745,1.63934,44.067,1.31817,1.815629537969696e-28
ag-3ecce9ff5402,Al1C1Ho3,5,81.2167,61.4448,1.64088,13.6598,7.73901,1.1453246014283562e-28
ag-903e65521a64,Ac1H2,3,56.1556,30.9154,1.64091,6.30193,7.42958,5.118591032222247e-29
ag-eda3b15c0480,Br1H4N1,6,18.0667,9.2643,1.64106,5.64689,2.38223,6.827102383435177e-29
ag-44d4b92478b2,B18Li2,20,199.797,182.544,1.6412,33.5665,2.41676,1.4324516485077871e-28
ag-6c53c0e96dd3,C8Cs1,9,90.8412,64.5218,1.6438,28.1623,2.90624,1.3083867388164026e-28
ag-1b512aeb8c77,B6Tb1,7,165.8,72.8525,1.64448,14.1624,5.39975,6.88206452969404e-29
ag-2be120d88682,C4,4,112.896,90.4593,1.64481,116.901,1.8249,4.371579060159488e-29
ag-7341bf3004fb,B12Sc1,13,218.481,187.866,1.64579,40.1159,2.83501,1.0231925190344404e-28
ag-49c5ad25995c,B12Sc1,13,217.944,198.798,1.6463,43.4633,2.83283,1.0239799152747708e-28
ag-5baa20a85d17,Al1Y3,4,51.4167,31.389,1.64756,7.63659,4.47071,1.090875521886042e-28
ag-6b114b9ffe1b,Al4Ho8,12,57.4884,31.4079,1.64769,2.96462,7.59341,3.1213927770314233e-28
ag-c3b5e3caace1,Be26Pa2,28,124.417,128.481,1.64796,11.5074,4.35425,2.6557508101203685e-28
ag-4a6e79068244,Al2Fe1Zr6,9,103.17,48.5531,1.64954,7.81941,5.99869,1.8191083334660386e-28
ag-f757d479791e,C1Er3Ga1,5,46.4333,18.6439,1.65105,2.66482,6.71153,1.4436981033074613e-28
ag-34e06cdc51fc,B12Hf1,13,237.2,192.287,1.65148,31.5612,5.09101,1.0053303218528055e-28
ag-127d327c7833,Be26Ce2,28,112.539,129.108,1.65162,13.9062,3.18182,2.6853444605775736e-28
ag-edfd496faf5b,Al4Er8,12,56.51,32.9999,1.65191,3.30151,7.80446,3.0766208368198425e-28
ag-4b14719a380e,B12Er1,13,220.933,211.619,1.65278,37.3594,4.72144,1.0445227683261897e-28
ag-27da31daab3d,Ti1Y1,2,44.0167,24.0872,1.65282,7.63154,4.17289,5.442670683272789e-29
ag-dabdb8650bc9,H8Mg4,12,62.9107,31.3725,1.65352,3.81247,1.79333,9.748757787421301e-29
ag-378e092c2455,Be2C1,3,207.489,231.835,1.65567,129.108,2.46482,2.023449872194775e-29
ag-907f2cf21e91,B12Ho1,13,218.689,212.534,1.65611,38.01,4.6683,1.0481294985647678e-28
ag-bd33403a60f8,B6K1,7,133.772,104.408,1.65691,32.3132,2.28929,7.541062149475269e-29
ag-7b77b7a0d8f7,Er1H1,2,69.6361,39.1808,1.65735,9.43127,9.7105,2.87744016772811e-29
ag-816b586b7b4c,Hf3,3,109.227,62.1732,1.65818,14.7496,13.3439,6.663485592610121e-29
ag-dc7abd798c5a,B12Dy1,13,218.267,211.354,1.65984,37.876,4.6131,1.0519231157153565e-28
ag-9935daabda2d,Be5Hf1,6,129.435,111.007,1.66084,23.606,6.07386,6.111682182812587e-29
ag-0b0765ce5f98,Cs1,1,2.07222,0.819158,1.66203,0.196911,1.90719,1.1571720439184204e-28
ag-e6bb61b62442,B12Tb1,13,220.656,212.905,1.66326,37.8246,4.53956,1.0558882502626456e-28
ag-6ed0a2b15ea0,La2Mg4,6,36.6778,19.6682,1.66489,3.30268,3.66109,1.701005785309076e-28
ag-d67acb31a621,Al8Dy12,20,59.1659,30.8928,1.66544,2.15715,6.98055,5.152147568956898e-28
ag-ab4e689d2cb9,B2N2,4,101.599,72.9378,1.66837,80.1051,1.896,4.3471266237509304e-29
ag-35efc58e64c4,Al1C1Er3,5,84.1944,65.4864,1.66885,14.0139,7.97838,1.1255022281601485e-28
ag-cd22e0d75d96,B3N3,6,99.1758,70.9695,1.66917,60.0811,1.85918,6.649828482421093e-29
ag-dcb115cc8184,B12Y1,13,217.678,210.231,1.66934,42.1339,3.44582,1.053614789404063e-28
ag-5dd7b5b33c86,B2N2,4,99.4936,71.4082,1.66959,79.0912,1.86353,4.422870615783896e-29
ag-ab7e16dde61b,B2N2,4,102.88,73.2687,1.6702,79.4965,1.91153,4.3118089062854174e-29
ag-de6b922183f2,B2N2,4,113.237,80.5123,1.67128,82.6791,2.0424,4.0355229527182545e-29
ag-a7e219378134,B2N2,4,106.21,76.4554,1.67137,81.9493,1.96357,4.197534123373124e-29
ag-84d417c7b9f4,Be26U2,28,123.556,138.3,1.67261,12.048,4.50222,2.6200512092133945e-28
ag-54d192a65c37,Be4Nb6,10,165.26,81.9258,1.67358,11.8315,6.78656,1.452147129478774e-28
ag-b3e6c35f229e,B16C16Mg8,40,157.595,103.438,1.67398,11.3868,2.40823,3.8585035763581863e-28
ag-b8aa0d8cb9a0,B12Zr1,13,231.972,202.752,1.67445,38.9539,3.61175,1.015867847995209e-28
ag-6141f4659a81,Be4Ta2,6,165.672,127.291,1.67446,24.634,9.34119,7.074070527011387e-29
ag-d6bee3c62237,H8Mg4,12,55.5206,39.6148,1.67752,5.22643,1.59217,1.098044794394835e-28
ag-ec2438f50fc6,B2C2Li2,6,154.076,132.303,1.67767,53.3418,2.13847,4.6221949410088355e-29
ag-b447a155ca67,Fe2P2Ta8,12,185.86,63.3677,1.67875,5.48031,13.5116,1.9924361897164546e-28
ag-e16aee5c2336,Be1H3Na1,5,60.8333,50.4941,1.67967,10.7579,1.55563,3.738785029103083e-29
ag-1fec0e97d7fa,Al2H8Na2,12,35.3275,22.7498,1.68027,3.87583,1.42493,1.2586471466105934e-28
ag-29c35aa38b84,C1Hf1,2,158.306,29.7138,1.68106,6.91025,9.85648,3.209399852327064e-29
ag-65482008ce92,Cl8H24N8,40,22.6938,6.97604,1.68134,1.05159,1.40323,4.968590199051186e-28
ag-af023e196da7,Al2Th2,4,73.4412,40.7361,1.68184,9.33101,7.75212,1.1096633243302494e-28
ag-41040ec12bb6,H4Mg2,6,52.8745,37.1298,1.68476,7.54015,1.45099,6.024417743373918e-29
ag-846fd722f92a,Mg8Tb4,12,42.4772,17.8344,1.686,1.57817,4.41825,3.1199733503129454e-28
ag-8400a768e728,Ho4Mg8,12,42.6587,16.3605,1.68703,1.40506,4.60743,3.0784367307090094e-28
ag-c5b17da66c84,Co1Hf1,2,123.639,75.9854,1.68825,23.2757,11.8094,3.338446412302825e-29
ag-3b9cba5a6a02,Ti3,3,113.294,75.3594,1.68842,29.7878,4.30535,5.53857573722988e-29
ag-9dfdfdc00cc1,Dy4Mg8,12,42.8884,17.3081,1.68952,1.4885,4.52218,3.1007735415213553e-28
ag-d2bed74bc816,Ca3Hg1,4,23.8056,9.477,1.69042,1.26658,4.00798,1.3292002093395635e-28
ag-55b23f1a73a1,Ho4Mg8,12,42.6621,16.2686,1.69106,1.37806,4.60693,3.0787708400541384e-28
ag-84c6b834bbe3,Be1Ti1,2,121.844,68.813,1.69116,33.5126,3.58449,2.634966307264116e-29
ag-31227863394c,B4C4Ca2,10,134.682,95.6248,1.693,26.8319,2.65922,1.0705675614928082e-28
ag-9b24a73c1635,Be4Ta6,10,183.144,110.776,1.6941,13.2563,12.7805,1.4574441247963149e-28
ag-a873c04ce401,Al1C1Y3,5,80.6944,62.0334,1.69509,16.7498,4.3295,1.1725211849228025e-28
ag-1cc72a1218ae,Yb1,1,10.1611,9.05585,1.69583,4.4612,6.99569,4.107381546130031e-29
ag-c45fd3cfd9ab,K1,1,3.73333,1.13168,1.69595,0.395712,0.889425,7.299576084284428e-29
ag-ece991e1e336,Ti2,2,113.529,63.5361,1.69645,30.9134,4.26458,3.727683546841292e-29
ag-51b613f0e17f,Ru4Y12,16,60.942,26.9652,1.69736,2.54817,5.70914,4.278932343463995e-28
ag-53cf3e307753,Er4Mg8,12,43.8606,19.5982,1.69741,1.73968,4.68926,3.057701281378088e-28
ag-7b87669d2985,Al1B1Be1,3,140.778,133.614,1.69771,67.878,2.54345,3.0557340249502755e-29
ag-f6d3e66aa99d,B6La1,7,174.156,110.64,1.698,24.037,4.66942,7.246520694079991e-29
ag-60403665ed82,B6Ba1,7,143.861,130.222,1.6982,33.4225,4.28949,7.827256282053433e-29
ag-a5bd4467e9ed,Al2Ni1Zr6,9,108.464,51.8881,1.69841,7.37992,5.98496,1.8311844629959812e-28
ag-b5aef94a06fb,Ca2H4,6,50.2053,31.2187,1.69846,5.5968,2.10263,6.648676391449986e-29
ag-77c1db08e0f0,Be6N4,10,211.815,177.173,1.69878,38.6587,2.66605,6.857529749796171e-29
ag-d1d764ad10d0,C1Y1,2,83.1167,15.3201,1.7003,4.12962,4.10771,4.0795448982886383e-29
ag-f0cec9393372,Er4Mg8,12,44.0289,19.4341,1.70032,1.6879,4.68912,3.0577925731725812e-28
ag-c3ff1f234732,Na1,1,9.25,2.8828,1.70232,0.92445,1.09572,3.484047933921125e-29
ag-33853d302c8a,Al8Y12,20,58.1696,34.7055,1.70276,3.19249,4.09439,5.202266607405651e-28
ag-409d27be6859,Be5Co1,6,147.672,128.477,1.70423,30.6261,3.62239,4.767191662096085e-29
ag-453163175fb6,Co4Ge4Nb4,12,144.755,63.9455,1.70499,7.567,8.10996,1.8385151292547175e-28
ag-b9e93482a015,Ru4Tb12,16,59.133,23.1416,1.70505,1.67669,8.96665,4.280465683417985e-28
ag-234f20d1a182,Al2Co1Zr6,9,107.353,53.1622,1.70538,7.86888,6.04475,1.813730535308686e-28
ag-8c35be2063c0,Cr3Nb1,4,80.5222,47.4103,1.70552,9.69749,5.70938,7.238953084378788e-29
ag-cb9594228183,Dy1Mg1,2,41.5389,22.4531,1.70584,6.22953,5.72512,5.418174646753482e-29
ag-0f529a0f57f0,Dy1Zn1,2,55.8389,30.4545,1.70608,7.77467,8.38141,4.5153714963203015e-29
ag-e2edff877e89,B2Mg1,3,147.879,116.426,1.70729,56.0154,2.63796,2.891005842080176e-29
ag-82e85d467374,H3Li1Sr1,5,21.8333,9.99763,1.70791,1.54969,1.63585,9.90576189241856e-29
ag-820436275402,Be24N16,40,214.13,186.533,1.70806,16.1629,2.70263,2.705885332353164e-28
ag-6c5fdc37c2c1,H12Mg4Na4,20,39.3281,28.1677,1.70848,2.25774,1.49749,2.2318942570739023e-28
ag-5e13be1019e7,H6Y2,8,85.4963,56.9664,1.70918,7.50123,4.00019,7.632277887532643e-29
ag-0b01214ece74,Be6P4,10,99.75,80.9284,1.70943,16.5215,2.25174,1.3124208349105054e-28
ag-3942a1cdbcb6,K1,1,3.88333,1.03926,1.70962,0.324953,0.888493,7.307233100052198e-29
ag-d4788fe8ddc6,C1Dy3In1,5,78.1667,59.957,1.70987,11.5559,8.53973,1.1945539333018623e-28
ag-3e889b2ebbef,Al8Ho12,20,60.4354,34.0672,1.70989,2.29906,7.17009,5.0834927691288095e-28
ag-cea75a0f9494,Na2,2,9.12427,4.32634,1.71028,1.03373,1.09329,6.983583499631487e-29
ag-473d6cf16fee,Be24P16,40,91.7833,71.9333,1.71058,6.2643,2.23018,5.300434029183979e-28
ag-428c04eb1532,Dy12Ru4,16,61.9295,26.0822,1.71201,1.87749,9.27276,4.2159765956576545e-28
ag-564419ad66d9,B4C4Y2,10,171.473,108.531,1.71363,22.6142,4.27769,1.044602512134961e-28
ag-59146a05803f,Al1C1La3,5,56.6833,33.187,1.71419,6.61794,5.22968,1.4469757499269389e-28
ag-8789eda517ed,Mn3N1Zn1,5,87.4,51.585,1.71657,6.2486,5.51042,7.359750840167756e-29
ag-d60381257f6b,B4C4Tb2,10,173.294,112.461,1.71696,19.4036,6.48012,1.0484200946295093e-28
ag-8f1899cffba0,Ta30,30,190.845,62.5806,1.7173,2.70884,15.6292,5.767493353948674e-28
ag-769c8972eac0,B4C4Gd2,10,168.768,112.989,1.71734,19.8115,6.30118,1.069362935371789e-28
ag-b09fb2c5d1e9,C8,8,288.018,241.496,1.71832,88.1928,2.74827,5.805611986366003e-29
ag-ff083729d37a,La16Mg4Ru4,24,44.5,18.8911,1.71987,1.04296,5.97465,7.570799450831176e-28
ag-4adb547760ac,Ga2Hf6Ni1,9,120.908,64.4591,1.72032,7.13921,12.1328,1.7369081517187196e-28
ag-8edb02477ff6,Hf2Zn1,3,107.809,59.9778,1.72043,13.5649,11.8536,5.917134337265535e-29
ag-dc3474a72a85,Ca4H8,12,47.299,33.8732,1.72196,4.00777,1.97598,1.4149643661327022e-28
