material_id,formula,K_VRH,G_VRH
mp-561751,CsErS2,40.99999999999999,26.0
mp-567220,Hf2SbP,124.00000000000003,70.00000000000001
mp-567412,Y5Sn3,62.0,44.0
mp-567629,CsPbBr3,17.999999999999996,7.0
mp-568337,ThRh2,170.00000000000006,35.0
mp-568371,Tm(SiRu)2,154.0,77.0
mp-568469,Ca4TiN4,90.00000000000003,42.99999999999999
mp-569298,Ca(CoAs)2,83.00000000000001,47.00000000000001
mp-569364,Be22Re,136.99999999999997,152.00000000000003
mp-569775,ZrAl3,100.0,63.999999999999986
mp-570198,Ba(ZnAs)2,47.99999999999999,22.999999999999996
mp-570784,Hf2Al3C4,197.0,156.0
mp-570811,PrRe2,178.00000000000003,10.0
mp-571059,YCd3,55.00000000000001,18.999999999999996
mp-571310,ZrInPt2,160.99999999999994,17.999999999999996
mp-571467,Cs2NaYBr6,37.99999999999999,12.000000000000002
mp-572,SmCd,52.00000000000001,17.999999999999996
mp-573316,CsPt2Se3,22.999999999999996,12.000000000000002
mp-580,PuB2,138.99999999999997,144.00000000000003
mp-601842,Fe9Co7,189.99999999999994,96.99999999999999
mp-620290,Sr2TlCuO5,81.0,54.000000000000014
mp-625487,Zn(HO)2,46.0,27.000000000000004
mp-636334,SnRh2,177.00000000000009,55.00000000000001
mp-643264,BaMg2FeH8,54.000000000000014,38.99999999999999
mp-647557,ZrPbO3,112.99999999999994,62.0
mp-6521,LiLaTiO4,119.99999999999996,56.00000000000001
mp-672195,CeAgAs2,83.00000000000001,44.0
mp-676,CaN6,45.00000000000001,21.999999999999996
mp-691,SnSe,23.999999999999993,15.000000000000004
mp-696114,CoCl2,10.0,4.0
mp-7003,CePPd,105.00000000000004,52.00000000000001
mp-7006,SrNbO3,173.00000000000003,81.0
mp-7027,InBO3,138.99999999999997,62.0
mp-7140,SiC,211.9999999999999,184.99999999999997
mp-7188,Al2Os,191.00000000000006,141.99999999999994
mp-723,Cr23C6,291.00000000000006,138.0
mp-7275,BaSi2,50.999999999999986,34.0
mp-733,GeO2,37.99999999999999,28.0
mp-7473,LiCu2Si,103.99999999999997,46.0
mp-75,Nb,174.00000000000009,20.000000000000004
mp-753181,SrCu2O3,92.00000000000001,42.99999999999999
mp-753946,LiCoS2,74.00000000000001,47.00000000000001
mp-754349,GdOF,109.99999999999997,49.99999999999999
mp-754537,LiLuO2,105.00000000000004,50.999999999999986
mp-754808,La2MgO4,133.0,75.00000000000001
mp-7557,Nb5SiSn2,161.99999999999994,83.00000000000001
mp-756490,Li6MnS4,44.0,27.000000000000004
mp-7576,CrSi,187.00000000000003,116.00000000000003
mp-7596,NbNO,237.00000000000006,109.00000000000004
mp-7608,Li2PdO2,91.00000000000001,44.0
mp-774092,Na3CoO3,52.00000000000001,17.0
mp-775907,Y2O3,127.99999999999999,63.0
mp-776490,Al2O3,228.00000000000009,144.00000000000003
mp-7819,Pd4S,146.99999999999997,37.0
mp-7879,Sr(AgGe)2,47.00000000000001,29.999999999999996
mp-7948,ReSi,246.0000000000001,92.99999999999999
mp-8044,V2PC,226.9999999999999,149.0
mp-8125,LuCuSi,68.99999999999999,61.000000000000014
mp-820,HgSe,40.99999999999999,12.999999999999998
mp-8249,TlPS3,12.000000000000002,7.0
mp-8282,Ti2N,204.0,117.00000000000001
mp-8452,NaLiS,29.999999999999996,23.999999999999993
mp-8481,LiPrGe,40.99999999999999,37.0
mp-862364,Sc2OsPt,154.99999999999997,70.00000000000001
mp-862620,IrRu3,313.99999999999994,179.99999999999997
mp-862745,Sr2LiPt,12.999999999999998,12.000000000000002
mp-862790,FeSiTc2,245.00000000000009,101.00000000000001
mp-863676,Pm2CuSn,64.99999999999999,20.000000000000004
mp-863717,Pm2NiRu,29.0,27.000000000000004
mp-864892,NdAgAu2,78.99999999999999,9.0
mp-864896,Zr2CoTc,164.00000000000003,68.99999999999999
mp-864920,MgZrAu2,117.00000000000001,32.00000000000001
mp-864952,Mg3Ag,47.99999999999999,22.999999999999996
mp-864971,MnSnRu2,265.00000000000006,112.99999999999994
mp-865138,Hf2MnIr,195.99999999999994,86.99999999999999
mp-865854,Yb2CuRh,59.00000000000001,21.999999999999996
mp-865868,LiZrRh2,138.0,46.0
mp-865925,LiZrIr2,158.0,48.99999999999999
mp-866069,MgScRh2,127.99999999999999,58.00000000000001
mp-866152,TiBeCo2,193.00000000000006,101.99999999999999
mp-866161,VRh3,250.99999999999991,126.99999999999999
mp-867149,Sr2CdSn,45.00000000000001,21.999999999999996
mp-867840,BeFeRh2,209.99999999999991,89.0
mp-8732,Ta2Se,39.99999999999999,26.0
mp-877,Er2In,59.00000000000001,27.000000000000004
mp-900,RhSe,135.99999999999997,29.0
mp-924129,ZrNiSn,152.00000000000003,73.0
mp-9549,ScFeGe,101.00000000000001,52.999999999999986
mp-9577,Ca3(AlSi)2,49.99999999999999,35.0
mp-961649,ZrFeTe,112.99999999999994,76.0
mp-972530,Sm2AgRh,76.0,21.0
mp-972884,Sc2AlCu,57.00000000000001,34.0
mp-973561,LiCe2Ru,68.00000000000001,5.000000000000001
mp-973622,K3Sr,5.000000000000001,5.000000000000001
mp-973653,Lu2ZnAg,86.99999999999999,29.999999999999996
mp-973983,NiPd3,173.00000000000003,39.99999999999999
mp-974517,NdErMg2,37.0,20.000000000000004
mp-975044,Li(SiRh)2,156.99999999999994,70.00000000000001
mp-975190,RbTeO3,103.99999999999997,68.00000000000001
mp-975640,Pr3(CuSn)4,74.00000000000001,47.99999999999999
mp-975868,Li3Al,26.0,17.999999999999996
mp-976419,Hf3Bi,101.00000000000001,28.0
mp-977404,Nd2AgIr,90.00000000000003,21.0
mp-977549,Zr2OsRu,193.00000000000006,85.99999999999999
mp-977586,MgSc2In,42.99999999999999,37.99999999999999
mp-978256,Mg2TlPb,114.00000000000003,33.0
mp-978545,Sm2AgHg,58.00000000000001,18.999999999999996
mp-978918,TbZr,63.999999999999986,32.00000000000001
mp-979026,SmTm3,42.00000000000001,26.0
mp-979715,YHoAl2,64.99999999999999,37.0
mp-980001,YbPr3,27.000000000000004,13.999999999999998
mp-981207,Yb3In3Ge2Au,52.00000000000001,37.99999999999999
mp-9827,RbHg2,11.000000000000002,5.000000000000001
mp-984049,CeYZn2,29.999999999999996,26.0
mp-989533,NaTl2InF6,128.99999999999994,39.99999999999999
mp-9988,Nb2CS,193.00000000000006,96.99999999999999
