mb_id,formula,n_sites,K_VRH,G_VRH,_rf,_key,agl_kappa,agl_kappa_min,agl_kappa_max,agl_gamma,agl_K,agl_G,density,natoms,compound,spacegroup,n_aflow_entries,cell_volume_m3
mb-00212,Pd4Se,10,138.99999999999997,37.0,Pd4Se,Pd4Se|10,1.14176,1.14176,1.14176,2.66604,132.066,37.2962,10.4402,10.0,Pd8Se2,114,1,1.6052842567357136e-28
mb-00217,TiP,8,138.99999999999997,91.0,TiP,TiP|8,13.5532,13.5532,13.5532,1.90906,136.112,82.8246,4.04884,8.0,P4Ti4,194,1,1.2933893696639555e-28
mb-00219,ThP,2,114.00000000000004,54.000000000000014,ThP,ThP|2,11.5485,11.5485,11.5485,2.01921,108.572,47.5543,8.2405,2.0,P1Th1,225,1,5.299938178018005e-29
mb-00220,YAs,2,75.00000000000001,50.99999999999999,YAs,YAs|2,16.4124,16.4124,16.4124,1.87494,76.6278,49.6308,5.48803,2.0,As1Y1,225,1,4.957004262011504e-29
mb-00221,ScGeRu,9,153.00000000000003,83.99999999999999,ScGeRu,ScGeRu|9,8.49,8.49,8.49,2.1004,143.578,85.1216,7.2414,9.0,Ge3Ru3Sc3,189,1,1.5042807587007974e-28
mb-00225,Sb2Au,12,70.99999999999999,23.999999999999996,Sb2Au,Sb2Au|12,0.608544,0.608544,0.608544,2.40952,68.6401,19.3861,9.40298,12.0,Au4Sb8,205,1,3.111546154048475e-28
mb-00228,ScCu,2,81.0,42.99999999999999,ScCu,ScCu|2,11.3908,11.3908,11.3908,1.93482,82.0,42.4958,4.99086,2.0,Cu1Sc1,221,1,3.61003241403403e-29
mb-00230,MgRh,2,115.00000000000004,58.00000000000001,MgRh,MgRh|2,11.3333,11.3333,11.3333,2.10289,123.689,59.0882,7.11647,2.0,Mg1Rh1,221,1,2.9682975548933477e-29
mb-00234,Sr(AgSn)2,5,39.99999999999999,23.999999999999996,Sr(AgSn)2,Sr(AgSn)2|5,1.08503,1.08503,1.08503,2.40721,44.6979,18.1047,6.65117,5.0,Ag2Sn2Sr1,139,1,1.3501088361981892e-28
mb-00235,Sr(SiAu)2,5,93.99999999999996,38.99999999999999,Sr(SiAu)2,Sr(SiAu)2|5,2.85255,2.85255,2.85255,2.4103,83.4961,41.0859,8.85189,5.0,Au2Si2Sr1,139,1,1.0087246209695114e-28
mb-00236,Ca3VN3,14,86.99999999999999,49.99999999999999,Ca3VN3,Ca3VN3|14,6.7652,6.7652,6.7652,1.90525,85.9194,49.56,3.12031,14.0,Ca6N6V2,63,1,2.2691310975484393e-28
mb-00237,Ca(SiAu)2,5,93.0,35.0,Ca(SiAu)2,Ca(SiAu)2|5,2.55545,2.55545,2.55545,2.39735,88.7606,36.5645,8.45016,5.0,Au2Ca1Si2,139,1,9.632558320550163e-29
mb-00243,BaAgAs,6,42.99999999999999,28.0,BaAgAs,BaAgAs|6,2.30341,2.30341,2.30341,2.22618,43.5877,28.3141,6.193,6.0,Ag2As2Ba2,194,1,1.7166686661026221e-28
mb-00248,CdCuF4,12,84.99999999999999,31.0,CdCuF4,CdCuF4|12,1.73266,1.73266,1.73266,2.25246,89.1773,33.836,5.49315,12.0,Cd2Cu2F8,140,1,1.5232565488027489e-28
mb-00249,V3AsC,10,191.00000000000009,78.99999999999999,V3AsC,V3AsC|10,6.85339,6.85339,6.85339,1.99407,186.223,66.7581,6.38906,10.0,As2C2V6,63,1,1.2462726379798797e-28
mb-00250,Mg3(TiAl9)2,46,78.99999999999999,50.99999999999999,Mg3(TiAl9)2,Mg3(TiAl9)2|46,1.96025,1.96025,1.96025,1.99981,76.5944,45.1957,2.67095,46.0,Al36Mg6Ti4,227,1,8.13582009411982e-28
mb-00251,Ba(BRh)2,5,86.99999999999999,49.99999999999999,Ba(BRh)2,Ba(BRh)2|5,9.93763,9.93763,9.93763,2.04443,89.5677,48.529,6.83323,5.0,B2Ba1Rh2,139,1,8.864010579803873e-29
mb-00252,YSiAu,6,93.0,44.0,YSiAu,YSiAu|6,3.51909,3.51909,3.51909,2.16991,88.0002,36.9997,8.44013,6.0,Au2Si2Y2,186,1,1.2353823695798572e-28
mb-00253,ScSiAu,6,112.99999999999994,63.0,ScSiAu,ScSiAu|6,5.39991,5.39991,5.39991,2.22529,107.238,58.3337,8.16657,6.0,Au2Sc2Si2,187,1,1.0980345503662708e-28
mb-00257,P2Pt,12,177.00000000000009,117.0,P2Pt,P2Pt|12,7.39102,7.39102,7.39102,2.32641,172.947,115.315,9.02354,12.0,P8Pt4,205,1,1.8919886744990638e-28
mb-00260,Li(CuP)2,5,91.0,36.0,Li(CuP)2,Li(CuP)2|5,3.27323,3.27323,3.27323,2.27498,87.235,35.1565,4.4825,5.0,Cu2Li1P2,139,1,7.260085142380406e-29
mb-00262,Sc2SO2,10,140.00000000000006,67.0,Sc2SO2,Sc2SO2|10,9.06028,9.06028,9.06028,1.92838,133.953,66.2702,3.57596,10.0,O4S2Sc4,194,1,1.4300078247210313e-28
mb-00264,YCo3B2,6,204.99999999999997,123.00000000000004,YCo3B2,YCo3B2|6,57.2399,57.2399,57.2399,1.22341,178.696,127.109,7.38306,6.0,B2Co3Y1,191,1,6.462339881950763e-29
mb-00274,ZrSO,12,130.00000000000006,49.99999999999999,ZrSO,ZrSO|12,5.46648,5.46648,5.46648,1.99064,130.809,50.5992,4.81625,12.0,O4S4Zr4,198,1,1.9209453811919033e-28
mb-00275,Ti6Al16Pt7,29,136.99999999999997,57.00000000000001,Ti6Al16Pt7,Ti6Al16Pt7|29,3.06831,3.06831,3.06831,2.06636,140.072,72.399,7.55391,29.0,Al16Pt7Ti6,225,1,4.582242504661042e-28
mb-00281,LaSi,8,66.00000000000001,44.0,LaSi,LaSi|8,6.241315,6.1934,6.28923,1.846555,68.7372,44.2081,5.327045,8.0,La4Si4,62,2,2.0821677275131397e-28
mb-00283,Rb2MgF4,7,39.99999999999999,21.0,Rb2MgF4,Rb2MgF4|7,1.93049,1.93049,1.93049,2.16886,39.4891,21.2374,3.77214,7.0,F4Mg1Rb2,139,1,1.1940039518908225e-28
mb-00284,SrSiPd,12,68.00000000000001,21.0,SrSiPd,SrSiPd|12,1.20107,1.20107,1.20107,2.12243,70.7053,22.6489,5.25527,12.0,Pd4Si4Sr4,198,1,2.807452865908121e-28
mb-00287,ErCdCu4,6,89.0,50.99999999999999,ErCdCu4,ErCdCu4|6,2.58204,2.58204,2.58204,2.28667,108.961,48.2549,9.55589,6.0,Cd1Cu4Er1,216,1,9.276848343451282e-29
mb-00294,Er2In,6,59.00000000000001,27.000000000000004,Er2In,Er2In|6,2.7617,2.7617,2.7617,1.82929,56.4123,26.7877,9.05173,6.0,Er4In2,194,1,1.648612988429013e-28
mb-00295,Si3MoPt2,12,184.0,91.0,Si3MoPt2,Si3MoPt2|12,5.97809,5.97809,5.97809,2.22275,195.937,94.9713,10.6276,12.0,Mo2Pt4Si6,26,1,1.782363910533098e-28
mb-00296,TaAl3,4,133.0,103.99999999999996,TaAl3,TaAl3|4,20.9283,20.9283,20.9283,1.91519,130.769,98.1166,6.75689,4.0,Al3Ta1,139,1,6.436137345369874e-29
mb-00298,V2N,9,267.0000000000001,141.99999999999994,V2N,V2N|9,17.0269,17.0269,17.0269,1.99366,257.97,132.471,5.9365,9.0,N3V6,162,1,9.724890474171158e-29
mb-00300,ScCo2Sn,4,135.99999999999997,74.00000000000001,ScCo2Sn,ScCo2Sn|4,4.41102,4.41102,4.41102,2.36435,86.0333,46.4576,6.68183,4.0,Co2Sc1Sn1,225,1,6.996517213733149e-29
mb-00303,Er2O3,40,148.00000000000003,67.0,Er2O3,Er2O3|40,2.30729,2.30729,2.30729,1.97586,145.077,67.82,8.66313,40.0,Er16O24,206,1,5.86562218437802e-28
mb-00315,InP,2,59.00000000000001,31.0,InP,InP|2,6.228524999999999,5.90485,6.5522,2.266845,68.18335,34.1092,5.19206,2.0,In1P1,216,2,4.6627526737578433e-29
mb-00316,Y(Sn3Ru2)2,11,119.99999999999996,56.00000000000001,Y(Sn3Ru2)2,Y(Sn3Ru2)2|11,2.99179,2.99179,2.99179,2.30558,117.224,53.5419,8.33611,11.0,Ru4Sn6Y1,121,1,2.401227823634267e-28
mb-00327,ThSi2,3,106.00000000000004,47.00000000000001,ThSi2,ThSi2|3,4.01412,4.01412,4.01412,2.09872,99.273,29.1183,7.38234,3.0,Si2Th1,191,1,6.482800895697723e-29
mb-00335,Sc2Sb,6,73.0,39.99999999999999,Sc2Sb,Sc2Sb|6,5.29646,5.29646,5.29646,1.99512,69.4339,39.4605,4.78622,6.0,Sb2Sc4,129,1,1.4687554402929522e-28
mb-00337,NiMoP,9,241.0,95.0,NiMoP,NiMoP|9,6.82361,6.82361,6.82361,2.21158,236.782,88.3064,8.33691,9.0,Mo3Ni3P3,189,1,1.1090725831810529e-28
mb-00338,SnRh2,12,177.00000000000009,55.00000000000001,SnRh2,SnRh2|12,1.50651,1.50651,1.50651,2.79752,171.569,56.6696,10.9952,12.0,Rh8Sn4,62,1,1.9604183593507126e-28
mb-00343,La2S3,20,68.99999999999999,32.00000000000001,La2S3,La2S3|20,2.1284,2.1284,2.1284,1.95813,69.2979,32.7198,4.81695,20.0,La8S12,62,1,5.157217531633733e-28
mb-00347,Ta2O5,14,199.00000000000009,61.000000000000014,Ta2O5,Ta2O5|14,39.2307,39.2307,39.2307,2.02405,206.946,99.7348,7.73171,14.0,O10Ta4,47,1,1.898105830356484e-28
mb-00348,RbHgF3,5,50.99999999999999,15.000000000000004,RbHgF3,RbHgF3|5,0.775665,0.775665,0.775665,2.40916,50.2056,14.8246,5.74777,5.0,F3Hg1Rb1,221,1,9.910851070108314e-29
mb-00360,SrGe3Pd,5,55.00000000000001,27.000000000000004,SrGe3Pd,SrGe3Pd|5,1.86086,1.86086,1.86086,2.25365,72.648,25.0491,6.48827,5.0,Ge3Pd1Sr1,107,1,1.0543267683264382e-28
mb-00365,CaGeN2,8,107.0,30.0,CaGeN2,CaGeN2|8,6.24277,6.24277,6.24277,2.09556,113.986,50.2937,4.31952,8.0,Ca2Ge2N4,122,1,1.0820183153594357e-28
mb-00369,MgAs4,20,42.99999999999999,25.000000000000007,MgAs4,MgAs4|20,1.84899,1.84899,1.84899,2.03559,43.8761,25.5644,4.46633,20.0,As16Mg4,92,1,4.818276993669062e-28
mb-00374,TiSi,8,146.00000000000003,99.0,TiSi,TiSi|8,13.932,13.932,13.932,1.95143,140.342,87.4728,4.06927,8.0,Si4Ti4,62,1,1.2397515377403963e-28
mb-00380,YbSe,2,52.00000000000001,36.0,YbSe,YbSe|2,6.83574,6.83574,6.83574,1.89271,50.7944,33.7127,7.85303,2.0,Se1Yb1,225,1,5.328590937864867e-29
mb-00382,Ba(ZnAs)2,20,50.99999999999999,28.0,Ba(ZnAs)2,Ba(ZnAs)2|20,1.32349,1.32349,1.32349,2.09897,53.0518,31.1862,5.91139,20.0,As8Ba4Zn8,62,1,4.696599180346248e-28
mb-00383,ScTe,4,63.0,33.0,ScTe,ScTe|4,4.16652,4.16652,4.16652,2.04319,60.1356,28.1831,5.35872,4.0,Sc2Te2,194,1,1.0694189401491863e-28
mb-00389,Y3Pt,16,56.00000000000001,19.0,Y3Pt,Y3Pt|16,1.03128,1.03128,1.03128,1.78071,56.3343,15.4238,6.94227,16.0,Pt4Y12,62,1,4.418379089585606e-28
mb-00406,VH2,3,175.0,91.0,VH2,VH2|3,15.6993,15.6993,15.6993,1.93875,174.933,84.1551,4.6268,3.0,H2V1,225,1,1.9006181029041868e-29
mb-00408,ZrO2,12,182.99999999999991,84.99999999999999,ZrO2,ZrO2|12,8.614905,8.33108,9.8987,2.019705,188.99599999999998,83.7875,5.566575,12.0,O8Zr4,60,4,1.4703207869582246e-28
mb-00409,Y2CdS4,14,62.0,22.0,Y2CdS4,Y2CdS4|14,1.80276,1.80276,1.80276,1.94406,62.6444,22.9125,3.85337,14.0,Cd2S8Y4,227,1,3.606748753877218e-28
mb-00412,Ho2MgGe2,10,76.0,56.00000000000001,Ho2MgGe2,Ho2MgGe2|10,4.93397,4.93397,4.93397,1.95754,78.3658,57.8055,7.49179,10.0,Ge4Ho4Mg2,127,1,2.2140209406554235e-28
mb-00417,LaAs,2,64.99999999999999,39.99999999999999,LaAs,LaAs|2,12.4377,12.4377,12.4377,1.8949,65.1667,40.7637,5.91782,2.0,As1La1,225,1,5.999983158567121e-29
mb-00419,HoBi,2,52.99999999999999,32.00000000000001,HoBi,HoBi|2,6.53478,6.53478,6.53478,1.94696,54.5889,32.0032,9.91929,2.0,Bi1Ho1,225,1,6.259453632216633e-29
mb-00428,LiPN2,8,143.00000000000003,98.0,LiPN2,LiPN2|8,22.25,22.25,22.25,2.14032,135.649,100.525,2.8704,8.0,Li2N4P2,122,1,7.62794653204893e-29
mb-00437,La3TlC,5,63.0,39.99999999999999,La3TlC,La3TlC|5,4.82183,4.82183,4.82183,1.86394,55.6056,33.3955,7.10008,5.0,C1La3Tl1,221,1,1.4806939775882123e-28
mb-00442,Nb2AsC,8,205.99999999999997,118.99999999999996,Nb2AsC,Nb2AsC|8,16.0713,16.0713,16.0713,2.00241,204.666,118.741,7.75228,8.0,As2C2Nb4,194,1,1.1684403233853131e-28
mb-00443,RbAgO,12,23.999999999999996,10.0,RbAgO,RbAgO|12,0.545209,0.545209,0.545209,2.35511,23.9464,10.1089,4.47728,12.0,Ag4O4Rb4,119,1,3.105542738827717e-28
mb-00446,Nb2PC,8,224.0,140.00000000000006,Nb2PC,Nb2PC|8,21.2101,21.2101,21.2101,1.97672,221.209,137.344,6.86313,8.0,C2Nb4P2,194,1,1.1071529334045765e-28
